RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
100;ALAJMI Badr Mohammad;KUW;4.00;;;0.00;;;;;12.00;;;;0.00;16.00
101;HOCH Andre;GER;;0.00;;4.00;2.00;1.00;0.00;4.00;;;;;5.00;16.00
102;HASANOV Ruslan;UKR;;0.00;;;2.00;;8.00;;;;3.00;;2.50;15.50
103;DOMINICI Raphael;FRA;;;;14.00;1.00;0.00;0.00;;;;;;;15.00
104;JAIME Esteban Camilo;COL;;;14.00;;;;;;;;;;;14.00
105;MORALES CASTRO Gabriel;CRC;;;8.00;;;;;;;;;6.00;;14.00
106;ZANCANELLA Amedeo;ITA;;;;;8.00;2.00;2.00;2.00;;;;;;14.00
107;ZHULINSKIY Nikita;KAZ;;1.00;;4.00;;;2.00;1.00;6.00;;;;;14.00
108;SVENSSON Jonathan;SWE;;2.00;;;;1.00;;;;;6.00;;5.00;14.00
109;KEPPEL Colin;NED;8.00;4.00;;0.00;;;1.00;;;;;;;13.00
110;LANGE Henry;USA;;;;;;;1.00;;;;;12.00;;13.00
111;RUDYKH Daniil;RUS;;1.00;;8.00;2.00;2.00;;;;;;;;13.00
112;MANCEWICZ Bartlomiej;SWE;;8.00;;;;2.00;;;;;3.00;;0.00;13.00
113;DICKINSON Matthew;GBR;8.00;1.00;;2.00;;2.00;;;;;;;;13.00
114;CRUZ Joao Rodrigo;POR;;;;0.00;;;;2.00;;;6.00;;5.00;13.00
115;THEWANGER Emil;AUT;;2.00;;4.00;1.00;0.00;;;;;3.00;;2.50;12.50
116;GANDON Bi Boukalo Dial Robert;SEN;;;;;;;;;;12.00;;;;12.00
117;KRARIA Mohamed Cherif;ALG;;;;;;;;;;12.00;;;0.00;12.00
118;ANKON Mederic Ange Cyril;CIV;;;;;;;;;;12.00;;;;12.00
