RANK;ATHLETE;NATION;San Salvador A;Riga A;Luxembourg A;Heraklion A;Tokyo A;Manama A;Belgrade A;Bâle A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
131;PEREZ ONDARTS Lucio;ARG;;;;;;;;;;;12.00;;0.00;12.00
132;ALI MOUSSA Jibril;ALG;;;;;;;;0.00;12.00;;;;;12.00
133;HUMAN Alexander;RSA;;;;;;;;;12.00;;;;;12.00
133;ZAHEDI Sepehr;IRI;;;;;;;;;;;;12.00;;12.00
135;LEONE Francesco;ITA;;;;2.00;;;8.00;2.00;;;;;;12.00
136;LIWSKI Guido Nicolas;ARG;;;;;;;;;;;12.00;;;12.00
136;KREMNEV Matvey;UZB;;;;;;;;;;;;12.00;;12.00
136;ALGADI Abubaker Reda;LBA;;;;;;;;;12.00;;;;;12.00
139;ELJBALLI Mohamed;LBA;;;;;;;;;12.00;;;;;12.00
140;NAVARRO Yago;ESP;;4.00;0.50;1.00;;;1.00;0.00;;3.00;;;2.50;12.00
141;DOMINICI Raphael;FRA;;2.00;4.00;2.00;;;2.00;2.00;;;;;;12.00
142;GEDZO Andzej;EST;;1.00;2.00;2.00;;;2.00;;;0.00;;;5.00;12.00
143;DERKACH Andriy;UKR;;4.00;;0.25;;;1.00;;;6.00;;;0.63;11.88
144;GUERRA Federico;ITA;;;8.00;2.00;;;0.25;1.00;;;;;;11.25
145;EL CHOUEIRY Antoine;LBN;;;;;;8.00;;;;;;3.00;;11.00
146;ALAKKAS Omar;KSA;;;;;;8.00;;;;;;3.00;;11.00
147;ARIAS Julio;PAN;8.00;;;;;;;;;;3.00;;0.00;11.00
148;MA Xiao;CHN;;;;;;;;;;;;6.00;5.00;11.00
149;MESSIEN Alexis;FRA;;;4.00;1.00;;;4.00;2.00;;;;;;11.00
150;GAETANI Giulio;ITA;;;4.00;2.00;;;1.00;4.00;;;;;;11.00
151;YATES Domenic;AUS;;;2.00;1.00;;;;;;;;3.00;5.00;11.00
152;SEKIHARA Rei;JPN;;;2.00;0.50;8.00;;;;;;;;;10.50
153;CHAKAROV Ilia;BUL;;;;;;;8.00;;;0.00;;;2.50;10.50
154;PAYSAN Esteban;FRA;;;4.00;4.00;;;2.00;0.50;;;;;;10.50
155;GABITOV Ilnur;KAZ;;;4.00;;;;;0.50;;;;6.00;0.00;10.50
156;SELLS Alexander;AUS;;0.00;1.00;0.25;;;0.25;1.00;;;;3.00;5.00;10.50
157;GONZALEZ Felipe;CHI;4.00;;;;;;0.25;0.00;;;6.00;;0.00;10.25
158;SANUDO Carlos;MEX;;;;;;;;;;;;;10.00;10.00
159;TAJIRI Kodai;JPN;;;;;0.00;;;;;;;;10.00;10.00
160;SU Wen Hsien;TPE;;;;;4.00;;;;;;;6.00;;10.00
161;BIRKENMAIER Marco;GER;;0.25;1.00;0.50;;;0.00;8.00;;;;;;9.75
162;CHAN Xavier Jun Xi;SGP;;;;0.25;4.00;;;;;;;3.00;2.50;9.75
163;KALININAS Leonardas;LTU;;0.25;1.00;;;;0.50;;;3.00;;;5.00;9.75
164;FRAZAO Miguel;POR;;0.25;2.00;;;;2.00;;;3.00;;;2.50;9.75
165;KUDRIAVTSEV Georgii;UKR;;0.50;;0.50;;;0.25;8.00;;;;;;9.25
166;GULIYEV Barat;AZE;;0.00;;;;8.00;0.50;;;0.00;;;0.63;9.13
167;COHEN Yonatan;ISR;;;;2.00;;;0.00;1.00;;6.00;;;0.00;9.00
168;MOLLUSO Marco;ITA;;;;4.00;;;1.00;4.00;;;;;;9.00
169;KESAEV Alan;RUS;;1.00;2.00;1.00;;;1.00;4.00;;;;;;9.00
170;ROJAS Rafael Gerardo;MEX;;;;;;;;;;;6.00;;2.50;8.50
171;ULMANEN Kasper;SWE;;0.25;;;;;4.00;;;3.00;;;1.25;8.50
172;HO Hon Kiu;HKG;;;;;;;;0.50;;;;3.00;5.00;8.50
173;OSICKA Adam;CZE;;2.00;0.50;2.00;;;1.00;0.00;;3.00;;;;8.50
174;SALZER Matej;CZE;;0.50;4.00;0.50;;;0.50;0.00;;1.50;;;1.25;8.25
175;FRAZAO Filipe;POR;;2.00;2.00;;;;0.25;4.00;;0.00;;;;8.25
176;ALFHEIM Fabian;NOR;;0.00;;2.00;;;1.00;1.00;;3.00;;;1.25;8.25
177;LOPEZ GONZALEZ Keven Steven;NCA;8.00;;;;;;;;;;;;;8.00
178;MORALES CASTRO Gabriel;CRC;8.00;;;;;;;;;;;;;8.00
178;MENCARELLI Simone;ITA;;;8.00;;;;;;;;;;;8.00
178;SAKATO Hidemasa;JPN;;;;;8.00;;;;;;;;;8.00
