RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
308;CANING Klaus Albert;DEN;0.00;0.00;;0.00;;0.00;;;;;;;0.00
309;MACHADO Joao;POR;;;;;;;;0.00;;;;;0.00
309;BASKIN Niyazi;TUR;;;;;;;;;;0.00;;;0.00
311;EGELUND Alexander S.;DEN;0.00;0.00;;0.00;;0.00;;;;0.00;;;0.00
312;EVERITT Marcus Elgaard;DEN;;0.00;;0.00;;;;;;;;;0.00
313;BELO Joao;POR;;;;;;;;0.00;;;;;0.00
314;JONSSON Andreas;SWE;;;;;;0.00;;;;0.00;;;0.00
315;MOHSIN Abbas Abdulwahid;IRQ;;;;;;;;;;;;0.00;0.00
316;ABADJIEV Ivan;BUL;;;;;;;;;;0.00;;;0.00
317;BOLBOCEANU Tatian;ROU;0.00;;;;;;;;;0.00;;;0.00
318;WILLEMO Jakob;SWE;0.00;0.00;;;;0.00;;;;;;0.00;0.00
319;OKADA Yuya;JPN;;;;;0.00;0.00;;;;;;;0.00
320;KLSAK Adam;CZE;0.00;;;0.00;0.00;;0.00;;;;;;0.00
321;EGERTZ-SKAANES Oskar;SWE;;0.00;;;;0.00;0.00;;;;;;0.00
322;AL DOSARI Ahmad;QAT;;;;;;;;;;;;0.00;0.00
322;SAFAR Cirill;HUN;;;;;;;0.00;;;;;;0.00
324;HAIT Jonatan;ISR;;0.00;;;;0.00;;;;0.00;;;0.00
325;ALLEN James;GBR;0.00;;;;;;;;;0.00;;;0.00
326;MICHON Alessandro;LBN;;;;0.00;;;;;;;;0.00;0.00
327;ADAM Matous;CZE;0.00;;;0.00;0.00;;0.00;;;;;;0.00
328;EDWARDS Thomas;GBR;0.00;;;0.00;0.00;0.00;;;;;;;0.00
329;STASZULONEK Aleksander;POL;;;;;;;0.00;;;;;;0.00
330;ALLIKSAAR Renee;EST;;0.00;;;;0.00;;;;;;;0.00
331;LAPPALAINEN Pauli;FIN;;0.00;;;;0.00;;;;;;;0.00
332;HENDERSON Matt;GBR;0.00;;;0.00;0.00;0.00;;;;0.00;;;0.00
333;LANDAVERE Alex;PER;;;;;;;;;;;;0.00;0.00
333;AMANN Spencer;USA;;;;;;0.00;;;;;;;0.00
335;GARCIA VALVERDE Marcos;ESP;0.00;;;;;0.00;;;;;;;0.00
336;MCLEOD Matthew;CAN;;;;0.00;0.00;0.00;;;;;;;0.00
337;SVORAB Aliaksandr;BLR;;;;;;0.00;;;;0.00;;;0.00
338;BOGDANOV Alexander;ISR;;;;;;0.00;;;;;;;0.00
339;GEORGES Guillaume;BEL;0.00;;;0.00;0.00;0.00;0.00;;;;;;0.00
340;KAAKINEN Kimmo;FIN;;0.00;;;;0.00;;;;;;;0.00
341;SOOS Peter;HUN;0.00;;;0.00;;;0.00;;;;;;0.00
342;PORDES Jozef;POL;0.00;0.00;;;;;;;;;;;0.00
343;JIANG Chenyang;CHN;;;;;;;;;;;;0.00;0.00
344;SIMKO Nicolas;SUI;0.00;;;;0.00;;;;;;;;0.00
345;KNES Konstantin;AUT;;0.00;;0.00;0.00;0.00;;;;;;;0.00
346;LEOMBRUNO Marco;ITA;;;;0.00;;;;;;;;;0.00
347;SABAN Vedran;CRO;0.00;;;;;;0.00;;;;;;0.00
348;LESZCZYNSKI Marek;POL;;0.00;;;;;;;;;;;0.00
349;HUTTUNEN Pontus;FIN;0.00;0.00;;;0.00;0.00;;;;;;;0.00
350;BRACKE Michael;BEL;0.00;0.00;;0.00;0.00;0.00;0.00;;;;;;0.00
351;ZOCHR Ladislav;CZE;0.00;;;0.00;0.00;;0.00;;;;;;0.00
352;ALCHIN Daniel Patrick;AUS;;;;;;;;;;;;0.00;0.00
352;PANCIROLI Dennis;ITA;;;;0.00;;;;;;;;;0.00
354;HAGLUND Daniel;SWE;0.00;0.00;;;;0.00;0.00;;;;;0.00;0.00
355;LOVRIC Ivan;CRO;0.00;;;0.00;;;0.00;;;;;;0.00
356;CSAK Daniel;HUN;0.00;;;;;;0.00;;;;;;0.00
357;YAMAMOTO Daiki;JPN;;;;;0.00;0.00;;;;;;;0.00
358;KRASNYANSKYY Kyryl;UKR;0.00;;;;;;;;;;;;0.00
358;ALIYEV Kanan;AZE;;;;;;;;;;;;0.00;0.00
358;UYAMA Satoru;JPN;;;;;0.00;;;;;;;;0.00
361;CRUZ Roberto;SWE;0.00;;;;;0.00;;;;;;;0.00
362;GUJINOVIC Luka;CRO;0.00;;;0.00;;;0.00;;;;;;0.00
363;TOHVER Tarvo;EST;;0.00;;;;;;;;;;;0.00
363;XIA Jianhao;CHN;;;;;;;;;;;;0.00;0.00
365;TALLAR Akos;HUN;;;;;;;0.00;;;;;;0.00
366;ANDREYUK Nazariy;UKR;0.00;;;0.00;;;;;;;;;0.00
367;IHAB Omar;EGY;;;;;;;;;;;;0.00;0.00
368;TARANOWSKI Lucas;FRA;0.00;;;;;;0.00;;;;;;0.00
369;KERKELA Arimo;FIN;;0.00;;;;;;;;;;;0.00
369;ZHANG Shengyu;CHN;;;;;;;;;;;;0.00;0.00
371;JARL Henrik;SWE;;;;;;0.00;;;;;;;0.00
372;OBERSON Alexandre;SUI;0.00;;;0.00;0.00;;;;;;;;0.00
373;AL HAMMADI Abdullah;UAE;;;;;;;;;;;;0.00;0.00
374;GUNPUT Satya;MRI;0.00;;;0.00;0.00;0.00;;;;;;;0.00
375;EGERTZ-SKAANES Lukas;SWE;;;;;;0.00;0.00;;;;;;0.00
376;FERGUSON Magnus;USA;;0.00;;;;;;;;;;;0.00
376;CANFORA Luciano;ITA;;;;;0.00;;;;;;;;0.00
378;ASHKEBOUSSI Daniel;USA;;0.00;;;;;;;;;;;0.00
379;RIDLEY Sam;GBR;0.00;;;0.00;0.00;0.00;;;;;;;0.00
380;HUNGERBUEHLER Tim;SUI;;;;0.00;0.00;;;;;;;;0.00
381;MEYERS Andrew;USA;;0.00;;;;;;;;;;;0.00
382;WHITE Ben;GBR;;;;0.00;;;;;;;;0.00;0.00
383;BONADEI Davide;ITA;;;;0.00;;;;;;;;;0.00
384;HADDAD Zeid;JOR;;;;;;;;;;;;0.00;0.00
385;NOVOTNY Ondrej;CZE;0.00;;;0.00;0.00;0.00;;;;;;;0.00
386;SABBAGH Mohammad;JOR;;;;;;;;;;;;0.00;0.00
387;OROS Robert;ROU;0.00;;;;;;0.00;;;;;;0.00
388;KHILKO Igor;UKR;0.00;;;;;;;;;;;;0.00
388;ZHAKUPOV Kirill;KAZ;;;;;;0.00;;;;;;;0.00
388;VILLA Andrea;ITA;;;;;0.00;;;;;;;;0.00
388;ANFUSO Enrico;ITA;;0.00;;;;;;;;;;;0.00
392;PARN Martin;EST;;0.00;;;;;;;;;;;0.00
393;EDBROOK Luke;GBR;0.00;;;0.00;0.00;;;;;;;;0.00
394;TSUE Aoi;JPN;;;;;0.00;0.00;;;;;;;0.00
395;DOWNES Adam;SWE;0.00;0.00;;;;0.00;;;;;;;0.00
396;VUJTECH Jakub;CZE;0.00;;;0.00;0.00;;0.00;;;;;;0.00
397;THOMSON Campbell;GBR;0.00;;;;0.00;0.00;;;;;;;0.00
398;BIRSAN Andrei Sebastian;ROU;;;;;;;0.00;;;;;;0.00
399;BERECZK Andrej;SVK;0.00;;;;;;0.00;;;;;;0.00
400;KRALIK Andrej;SVK;0.00;;;;;;;;;;;;0.00
400;SPONGA Luca;SUI;;;;;0.00;;;;;;;;0.00
400;GARGOULAKIS Foivos;GRE;;;;;;;;;;;;0.00;0.00
400;SERENELLI Ivo;ARG;;;;0.00;;;;;;;;;0.00
404;AIDO Henrik;EST;;0.00;;;;0.00;;;;;;;0.00
405;ASAMA Ichiro;JPN;;;;;0.00;;;;;;;;0.00
406;YIANNAKI Constantinos;CYP;;;;;;;;;;;;0.00;0.00
407;PINKERTON Steven;GBR;;;;;0.00;0.00;;;;;;;0.00
408;CHADO TODOROVSKI Vojdan;MKD;;;;0.00;;;;;;;;0.00;0.00
409;LOCKHUART GUERRERO Jose Rafael;DOM;;;;;;;;;;;;0.00;0.00
410;KIRJONEN Santeri;FIN;;0.00;;;;;;;;;;;0.00
411;FINK Cedric;SUI;;;;;0.00;;;;;;;;0.00
411;JACK Thomas;FIN;;0.00;;;;;;;;;;;0.00
411;RICUTA Laurentiu;ROU;;;;;;;0.00;;;;;;0.00
411;AL-DOSARI Hammd;QAT;;;;;;;;;;;;0.00;0.00
415;SVICHKAR Roman;UKR;;;;;;;0.00;;;;;;0.00
415;HEIKKARI Matias;FIN;;0.00;;;;;;;;;;;0.00
415;BESBES Ahmed Aziz;TUN;;;;;;;;;;;;0.00;0.00
418;GRACIN Vito;CRO;0.00;;;;;;0.00;;;;;;0.00
419;FOGDE Oskar;FIN;;0.00;;;;0.00;;;;;;;0.00
420;DEMETRIOU Demetris;CYP;;;;;;;;;;;;0.00;0.00
421;ADAM Fahim;GBR;0.00;;;;0.00;;0.00;;;;;;0.00
422;TRUMMAL Tarmo;EST;;0.00;;;;0.00;;;;;;;0.00
423;MAY Jonathan;GBR;;;;0.00;;;;;;;;;0.00
424;LAUPER Samuel;SUI;;;;;0.00;;;;;;;;0.00
424;ATYAT Mohammad;JOR;;;;;;;;;;;;0.00;0.00
426;BUTIKOFER Romain;SUI;;;;;0.00;;;;;;;;0.00
426;ZHUMABAI UULU Daanyshman;KGZ;;;;;;;;;;;;0.00;0.00
426;HONKANEN Aleksis;FIN;;0.00;;;;;;;;;;;0.00
429;DELARUE-BIZZINI Bernardo;BRA;;;;;0.00;;0.00;;;;;;0.00
430;SUURONEN Markus;FIN;;0.00;;;;;;;;;;;0.00
430;ACHILLEOS Alexandros;CYP;;;;;;;;;;;;0.00;0.00
432;RADELET Kevin;BEL;0.00;;;;0.00;0.00;0.00;;;;;;0.00
433;BARGERBOS Arno;NED;0.00;0.00;;;;;;;;;;;0.00
434;DEFRANCE Yanael;FRA;0.00;;;0.00;;;;;;;;;0.00
435;LONNBERG Ivar;FIN;;0.00;;;;0.00;;;;;;;0.00
436;YAMADA Masaru;JPN;;;;;;0.00;;;;;;;0.00
436;PILLOUD Quentin;SUI;;;;;0.00;;;;;;;;0.00
438;BAGO Bence;HUN;;;;;;;0.00;;;;;;0.00
439;CONEYS Ulysse;IRL;0.00;;;;0.00;0.00;;;;;;;0.00
440;DERYABIN Ivan;KAZ;;;;;;;0.00;;;;;;0.00
441;LITTLER Joe;GBR;;;;;;0.00;;;;;;;0.00
442;NISHIMORI Kenta;JPN;;;;;0.00;0.00;;;;;;;0.00
443;JONES Simon;USA;;;;;;0.00;;;;;;;0.00
444;EVEQUOZ Maxime;SUI;;;;;0.00;;;;;;;;0.00
445;VASILIAUSKAS Andrius;LTU;0.00;;;;;;;;;;;;0.00
446;SIGNANI Filippo;ITA;;;;0.00;;;;;;;;;0.00
446;YAMAZAKI Daichi;JPN;;;;;;0.00;;;;;;;0.00
448;REZNICEK Stepan;CZE;0.00;;;0.00;0.00;;0.00;;;;;;0.00
449;ZUPANCIC David;SLO;;;;0.00;;;;;;;;;0.00
450;GIACOPINI Achille;SUI;;;;;0.00;;;;;;;;0.00
450;JANKOVIC Vuk;SRB;;;;;;;0.00;;;;;;0.00
452;TODOROV Ivan;BUL;;;;0.00;;;;;;;;;0.00
452;SHALABY Marwan;EGY;0.00;;;;;;;;;;;;0.00
452;FUNAMOTO Soichiro;JPN;;;;;0.00;;;;;;;;0.00
455;FRANKOVIC Leon;SLO;0.00;;;;;;0.00;;;;;;0.00
456;GLUHIC Gal;SLO;;;;;0.00;;;;;;;;0.00
456;SALOMONI Giorgio Maria;ITA;;;;0.00;;;;;;;;;0.00
458;KARKALIK Matej;SVK;0.00;;;0.00;;;0.00;;;;;;0.00
459;MLSNA Viktor;SVK;0.00;;;;0.00;0.00;0.00;;;;;;0.00
460;WEISS Lewis;USA;;;;;;0.00;;;;;;;0.00
460;TATSUOKA Atsuto;JPN;;;;;0.00;;;;;;;;0.00
462;JAUERNIK Christian;DEN;;;;;;0.00;;;;;;;0.00
463;ENSTROM Filip;SWE;;;;;;0.00;;;;;;;0.00
463;HOLLENBECK Luke;USA;;;;;0.00;;;;;;;;0.00
465;KRAUS Daniel;SVK;0.00;;;;;0.00;0.00;;;;;;0.00
466;SAEKI Kosei;JPN;;;;;0.00;;;;;;;;0.00
467;MARKUSEK Ivan;SVK;0.00;;;;;0.00;0.00;;;;;;0.00
468;VENCOVSKY Pavel;SVK;;;;;;0.00;0.00;;;;;;0.00
469;WALTER Jeremie;SUI;;;;;0.00;;;;;;;;0.00
470;VAULIN Oleksandr;UKR;0.00;;;;;;;;;;;;0.00
471;NICLOU Benoit;LUX;;;;;0.00;0.00;;;;;;;0.00
472;NIKOLIC Darko;SRB;0.00;;;0.00;;;;;;;;;0.00
473;POPOVIC Valentin;SRB;;;;;;;0.00;;;;;;0.00
474;KRAUS Peter;SVK;;;;;;0.00;0.00;;;;;;0.00
475;HOUSE Alex;USA;;;;;;0.00;;;;;;;0.00
476;FONTANNAZ Sebastien;SUI;;;;;0.00;;;;;;;;0.00
476;COMAN Marian;ROU;;;;;;;0.00;;;;;;0.00
478;SCHOBER Maximilian;AUT;;;;0.00;;0.00;;;;;;;0.00
479;NISHIMOTO Yuto;JPN;;;;;;0.00;;;;;;;0.00
480;STEWART-WATSON David;GBR;;;;;;0.00;;;;;;;0.00
481;BIENENFELD Emanuel;CRO;;;;0.00;;;;;;;;;0.00
481;NYGARD Oskar;SWE;;;;;;0.00;;;;;;;0.00
483;FRIDMAN Daniel;ISR;;;;;;0.00;;;;;;;0.00
484;WARG Jonathan;SWE;;;;;;0.00;;;;;;;0.00
484;SATKAUSKAS Matas;LTU;0.00;;;;;;;;;;;;0.00
486;SIMPSON James;IRL;;;;;;0.00;;;;;;;0.00
486;KARLSEN Knut Martin;NOR;;;;;;0.00;;;;;;;0.00
488;VONEN Sindre;NOR;0.00;;;;;0.00;;;;;;;0.00
489;AAGENAES Haakon;NOR;;;;;;0.00;;;;;;;0.00
490;SCHORR Raymond;USA;;;;;;0.00;;;;;;;0.00
490;STEIS Lukas;SVK;0.00;;;;;;;;;;;;0.00
492;KANEKO Ryo;JPN;;;;;;0.00;;;;;;;0.00
493;SIEBER Marcel;GER;0.00;;;;;;;;;;;;0.00
494;HANICOTTE Sebastien;FRA;0.00;;;;;;;;;;;;0.00
495;KOENIGSWIESER Justus;AUT;;;;;;0.00;;;;;;;0.00
496;KUTZIY Alon;ISR;;;;;;0.00;;;;;;;0.00
496;ANDERSSON Mans;SWE;;;;;;0.00;;;;;;;0.00
498;LOVRIC Marin;CRO;0.00;;;;;;;;;;;;0.00
499;MED Johan Andreas;NOR;;;;;;0.00;;;;;;;0.00
500;DORDEVIC Denis;SWE;0.00;;;;;0.00;;;;;;;0.00
501;MIECIUS Tadas;LTU;0.00;;;;;;;;;;;;0.00
502;JASZKOWSKI Nicolas;SUI;0.00;;;;;;;;;;;;0.00
502;JAKIMAVICIUS Zygimantas;LTU;0.00;;;;;;;;;;;;0.00
504;SHOHAM Arad;ISR;;;;;;0.00;;;;;;;0.00
505;GIANNOTTE Flavio;LUX;;;;;;0.00;;;;;;;0.00
506;WOLD Marius;NOR;;;;;;0.00;;;;;;;0.00
507;MILCHEV Alexander;BUL;0.00;;;;;;;;;;;;0.00
508;VAGGO Victor;SWE;;;;;;0.00;;;;;;;0.00
509;RIAD Ali;ISR;;;;;;0.00;;;;;;;0.00
510;MCCONNELL Owen;IRL;;;;;;0.00;;;;;;;0.00
511;WAHLGREN Rasmus;SWE;;;;;;0.00;;;;;;;0.00
512;TANG Arvid;SWE;;;;;;0.00;;;;;;;0.00
513;GAARDSTED Viktor Emil;DEN;;;;;;0.00;;;;;;;0.00
514;KIMURA Shogo;JPN;;;;;;0.00;;;;;;;0.00
515;TARANENKO Yuriy;UKR;;;;;;0.00;;;;;;;0.00
516;ERIKSEN Kai Haakon;NOR;;;;;;0.00;;;;;;;0.00
517;EDIN Joakim;NOR;;;;;;0.00;;;;;;;0.00
517;BERGH Casper;NOR;;;;;;0.00;;;;;;;0.00
519;TOULLY Matteo;LUX;;;;;;0.00;;;;;;;0.00
520;WERRING Cornelius;NOR;;;;;;0.00;;;;;;;0.00
