RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
123;PRISTERA Mattia;ITA;;;;8.00;;;;;;;;;8.00
124;CITRO Fabrizio;ITA;;;;;;;;8.00;;;;;8.00
124;KEYHANI Mohammad Ali;IRI;;;8.00;;;;;;;;;;8.00
126;SOBIECKI Jan;POL;;;;;8.00;0.00;0.00;;;;;;8.00
127;LINDE Johan;SWE;0.00;8.00;;;;0.00;0.00;;;;;;8.00
128;KHOJOYAN Artur;ARM;;;8.00;;;;;;;;;;8.00
129;WEIDLICH Reinhard;GER;8.00;;;0.00;0.00;0.00;;;;;;;8.00
130;RANIERI Roberto;ITA;;;;8.00;;;;;;;;;8.00
131;MUTSENIK Stanislav;EST;;8.00;;;;0.00;0.00;;;;;;8.00
132;ESMAEILI Mohammad;IRI;;;8.00;;;;;;;;;;8.00
133;GOLUBEV Ivan;RUS;0.00;8.00;;;;;;;;;;;8.00
134;SAGHASAR Ramin;IRI;;;8.00;;;;;;;;;;8.00
135;BRUNOLD Bruce;SUI;0.00;;;0.00;0.00;4.00;0.00;4.00;;;;;8.00
136;GRASBECK Gunnar;FIN;0.00;0.00;;;2.00;4.00;;2.00;;;;;8.00
137;CHUBENKO Mikhail;RUS;4.00;2.00;;0.00;;;2.00;;;;;;8.00
138;MARTYNIUK Vitalii;UKR;4.00;;;4.00;;;0.00;;;;;;8.00
139;DI BELLA Federico;ITA;;2.00;;2.00;;4.00;;;;;;;8.00
140;PENNELLA Pietro;ITA;;4.00;;0.00;;4.00;0.00;;;;;;8.00
141;WENGLARCZYK Jan;POL;2.00;4.00;;;2.00;0.00;;;;;;;8.00
142;OLIVEIRA Miguel;POR;;;;;;0.00;;4.00;;3.00;;0.00;7.00
143;LUND Jonas;NOR;;0.00;;;;2.00;;;;;;5.00;7.00
144;SALMAN Alialjasad;IRQ;;;2.00;;;;;;;;;5.00;7.00
145;KOMAN Robert;SLO;0.00;;;2.00;0.00;;0.00;;;0.00;;5.00;7.00
146;UJVARI Daniel;HUN;2.00;;;;;;2.00;;;3.00;;;7.00
147;HAY Christopher;GBR;2.00;;;0.00;2.00;0.00;;;;3.00;;;7.00
148;LANNO Georg-Marten;EST;2.00;0.00;;;;0.00;2.00;;;3.00;;;7.00
149;LEHIS Margo;EST;2.00;2.00;;;;0.00;;;;3.00;;0.00;7.00
150;ELDEIB Alexander;USA;;4.00;;;0.00;2.00;;;;;;;6.00
151;SAINTE ROSE Thomas;FRA;;;;2.00;4.00;0.00;0.00;;;;;;6.00
152;CLENIN Laurent;SUI;0.00;;;0.00;0.00;0.00;2.00;4.00;;;;;6.00
153;ANTKIEWICZ Mateusz;POL;2.00;0.00;;;4.00;;;;;;;;6.00
154;HALLER Rudolf;GER;4.00;;;0.00;2.00;0.00;;;;0.00;;;6.00
