RANK;ATHLETE;NATION;Luxembourg A;Bratislava A;Espoo Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Alger CHZ;Porec CHZ;Estado de Vargas CHZ;Moscow CHM;TOTAL
149;HABARTA Ondrej;CZE;0.00;0.00;;;;2.00;;0.00;;0.00;;5.00;7.00
150;LUCCHETTI Santiago;ARG;;;;;;;;;;;6.00;0.00;6.00
151;PINILLA Arthur;COL;;;;;;;;;;;6.00;;6.00
152;ABRAMIUK Danil;RUS;;;4.00;;;2.00;;0.00;;;;;6.00
153;NEMTYREV Konstantin;RUS;;2.00;4.00;;;;;;;;;;6.00
154;BERNAT Barna;HUN;;0.00;;;2.00;4.00;0.00;0.00;;;;;6.00
155;MONOD Hadrien;SUI;4.00;0.00;;;;2.00;0.00;;;;;;6.00
156;LOVRIC Ivan;CRO;;0.00;;;0.00;;;;;6.00;;0.00;6.00
157;KOMAROMY-POROS Csongor;HUN;;2.00;;;0.00;;;4.00;;;;;6.00
158;CONEYS Ulysse;IRL;4.00;0.00;;;2.00;;0.00;;;0.00;;0.00;6.00
159;ADAM Matous;CZE;2.00;0.00;;;;4.00;;;;;;;6.00
160;OBERSON Alexandre;SUI;2.00;;2.00;;2.00;0.00;0.00;;;;;;6.00
161;KARYUCHENKO Yevgeniy;UKR;;2.00;;;0.00;;2.00;2.00;;;;;6.00
162;HAUTERVILLE Jonathan;FRA;;2.00;;;2.00;;2.00;;;;;;6.00
163;NAGY Attila;HUN;;2.00;;;2.00;;;2.00;;;;;6.00
164;JIANG Chenyang;CHN;;;;;;;;;;;;5.00;5.00
165;YAMADA Masaru;JPN;;;;;;;0.00;;;;;5.00;5.00
166;TRANDAFIRESCU Ionut;ROU;;2.00;0.00;;;;;0.00;;3.00;;0.00;5.00
167;NG Ho Tin;HKG;;;;;;;;;;;;5.00;5.00
168;MAYALL-VANDERVELDE Henry;AUS;;;;;;;;;;;;5.00;5.00
169;BERG NIEMELA Anton;SWE;;0.00;;;;;2.00;;;3.00;;;5.00
170;IBARRA Dario;MEX;;;;;;;;;;;;5.00;5.00
171;TACCANI Alessandro;ARG;;;;;;;;0.00;;;;5.00;5.00
172;PARISSE Olivier;BEL;0.00;;0.00;;0.00;2.00;0.00;;;3.00;;;5.00
173;HANINA Saar;ISR;;;0.00;;;;0.00;;;0.00;;5.00;5.00
174;KANANI Amir Reza;IRI;;;;4.00;;;;;;;;;4.00
175;REZAEI Mehdi;IRI;;;;4.00;;;;;;;;;4.00
175;GARZO Zsombor;HUN;;;;;;;;4.00;;;;;4.00
