RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Thessaloniki A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Toronto CHZ;Maribor CHZ;Alger CHZ;Abu Dhabi CHZ;Tashkent CHM;TOTAL
385;KARPOV Viacheslav;BLR;;;;;;;0.00;;;;;;;0.00
385;AL FAILAKHWI Khaleed;KUW;;0.00;;;;;;;;;;;;0.00
385;AL-HENDAL Hasan;KUW;;0.00;;;;;;;;;;;;0.00
388;SWIRIDOW Anton;GER;0.00;;;;0.00;0.00;0.00;;;;;;;0.00
389;OMRAN Khaleed;KUW;;0.00;;;;;;;;;;;;0.00
389;FOUSTANAKIS Stylianos-Rafail;GRE;;;0.00;;;;;;;;;;;0.00
389;PREZIOSI Alessio;ITA;;;;;;;;0.00;;;;;;0.00
392;KAAKINEN Kimmo;FIN;;;0.00;;;0.00;;;;0.00;;;;0.00
393;VOLKOV Danila;RUS;0.00;;;;0.00;;;;;;;;;0.00
394;MENDOZA Carlos;VEN;;;;;;;0.00;0.00;;;;;;0.00
395;KRAUS Peter;SVK;0.00;;0.00;;0.00;;;;;;;;;0.00
396;TKACHUK Leontii;UKR;0.00;;0.00;;0.00;0.00;0.00;0.00;;;;;;0.00
397;NILSSON Erik;SWE;0.00;;;;;;;;;;;;;0.00
397;WILSON Sean;USA;;;;;;;;0.00;;;;;;0.00
399;ANDREU ALMANSA Marc;ESP;;;0.00;;0.00;0.00;;0.00;;;;;;0.00
400;GUSAROV Klim;EST;;;;;0.00;0.00;0.00;;;0.00;;;;0.00
401;VASARAUDZIS Egils;LAT;;;;;;;0.00;;;;;;0.00;0.00
402;RAZ Ori;ISR;;;;;0.00;0.00;;;;;;;;0.00
403;SANTRAC Danilo;SRB;;;;;0.00;;;;;0.00;;;;0.00
404;KYPRAIOS Spyridon;GRE;;;0.00;;;;;;;;;;;0.00
405;SURANO Alvaro;ESP;0.00;;;;0.00;;;0.00;;;;;;0.00
406;VAZ Andre;POR;;;;;0.00;0.00;;;;0.00;;;0.00;0.00
407;REBUS Gregory;FRA;0.00;;;;;;;;;;;;;0.00
408;ZMAUC-KVAR Ziga;SLO;;;;;0.00;0.00;;0.00;;0.00;;;0.00;0.00
409;YANEZ Adrian;ESP;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
410;ALVITO Luis;POR;;;;;;;;;;0.00;;;;0.00
411;PEETERS Kamiel;BEL;0.00;;0.00;;0.00;;0.00;0.00;;;;;;0.00
412;RODRIGUEZ Pierre-Emmanuel;FRA;0.00;;;;0.00;;;;;;;;;0.00
413;NASIRDINOV Abdulbosid;UZB;;;;;;;;;;;;;0.00;0.00
414;MAURICE Quentin;FRA;0.00;;;;0.00;0.00;;;;;;;;0.00
415;LOBODENKO Nazar;UKR;0.00;;0.00;;0.00;0.00;0.00;0.00;;;;;;0.00
416;LEBEDEV Eduard;EST;0.00;;;;0.00;0.00;0.00;0.00;;0.00;;;0.00;0.00
417;SLATER Philip;IRL;;;;;0.00;0.00;0.00;;;0.00;;;;0.00
418;YUAN Wesley;USA;0.00;;;;;;;;;;;;;0.00
419;DIAZ Alejandro;MEX;;;;;;;;;;;;;0.00;0.00
419;METAXAS Stylianos;GRE;;;0.00;;;;;;;;;;;0.00
421;RODELL Clinton;USA;;;;;;0.00;;0.00;;;;;;0.00
422;STIOUKIS Matthaios;GRE;;;0.00;;;;;;;;;;;0.00
423;STYN Robert;GER;;;;;0.00;0.00;0.00;;;;;;;0.00
424;SANSONE Matteo;ITA;0.00;;;;;;;0.00;;;;;;0.00
425;ANDRIYASHKIN Vladimir;RUS;0.00;;;;;;;;;;;;;0.00
426;SIMSEK Ismail Ege;TUR;;;0.00;;;0.00;;;;;;;;0.00
427;MICHALAK Damian;POL;;;;;;0.00;;;;;;;;0.00
427;KITAMURA Tomohiro;JPN;;;;;;0.00;;;;;;;;0.00
429;KROHN Otthar Andreas;NOR;0.00;;0.00;;;;;;;;;;;0.00
430;CIMBOREVICS Ernests;LAT;;;;;;;0.00;;;;;;0.00;0.00
431;BONTES Joris;NED;0.00;;0.00;;;;;;;;;;;0.00
432;BORISEVICH Yavgen;BLR;;;;;;;0.00;;;;;;;0.00
432;SCHUELING Niels;GER;;;;;;;;0.00;;;;;;0.00
434;CONRAD Nicolas;FRA;;;;;;;0.00;;;;;;;0.00
434;HSU Chieh Wei;TPE;;;;;;;;;;;;;0.00;0.00
436;TRZEPIZUR Przemyslaw;POL;0.00;;;;;;0.00;;;;;;;0.00
437;NETTEMAN Lars;LUX;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
438;BLACKWOOD Samuel;USA;;;;;;;;0.00;;;;;;0.00
439;BUDEK Karol;POL;0.00;;;;0.00;;;;;;;;;0.00
440;SCHLESSER Gregory;LUX;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
441;SERHOVETS Maksim;EST;;;;;0.00;;;;;;;;;0.00
442;ZORZATO Daniele;SUI;0.00;;0.00;;;0.00;;;;;;;;0.00
443;TAMMOJA Mike;EST;;;;;;;0.00;;;;;;;0.00
443;BERKEL Dominik;GER;;;;;;;;0.00;;;;;;0.00
445;OLSEN Johannes Kristian;DEN;0.00;;0.00;;0.00;;0.00;0.00;;0.00;;;;0.00
446;JUKNA Rokas;LTU;;;;;0.00;;0.00;;;;;;0.00;0.00
447;MANUM Bendik Mogens;NOR;0.00;;0.00;;;;;;;;;;;0.00
448;MIKKILA Max;FIN;;;;;;;0.00;;;;;;;0.00
448;ZELLER Zachary;USA;;;;;;;;0.00;;;;;;0.00
448;WENZEL Tijan;SLO;;;;;;;;;;0.00;;;;0.00
451;FJERMESTAD Tord;NOR;;;0.00;;;;;0.00;;;;;;0.00
452;PANELIUS Rufus;FIN;;;;;;0.00;0.00;;;;;;;0.00
453;RAEDER Anton;NOR;;;;;;;;;;;;;0.00;0.00
454;JURKA Jakub;CZE;0.00;;;;0.00;;;;;0.00;;;;0.00
455;KOFOL Andraz;SLO;;;;;0.00;;;0.00;;0.00;;;;0.00
456;BOYLE Samuel;GBR;0.00;;0.00;;;;;0.00;;;;;;0.00
457;ENGEL Hans;USA;;;;;;0.00;;;;;;;;0.00
458;MICHALIK Samuel;SVK;0.00;;0.00;;0.00;;;;;;;;;0.00
459;MRAVLJAK Jure;SLO;;;;;;;;;;0.00;;;;0.00
460;FILIPPOUSIS Ioannis;GRE;;;0.00;;;;;;;0.00;;;;0.00
461;ROSENBERG Gabriel;SWE;0.00;;;;0.00;;;;;;;;;0.00
462;VASILOPOULOS Argyris;GRE;;;0.00;;;;;;;;;;;0.00
462;RODRIGUEZ GONZALEZ Javier;ESP;;;;;;;;0.00;;;;;;0.00
464;BADEM Emre;TUR;;;0.00;;;;;;;;;;;0.00
464;XU Jason;USA;;;;;;;;0.00;;;;;;0.00
466;FRIDMAN Daniel;ISR;;;;;0.00;0.00;;;;;;;;0.00
467;CETIC Danilo;SRB;;;;;0.00;;;;;0.00;;;;0.00
468;LATTEKIVI Mart;EST;;;;;;;0.00;;;0.00;;;;0.00
469;PIREK Cyril;SUI;;;0.00;;0.00;0.00;;;;;;;;0.00
470;BERGH Casper;NOR;;;;;;;0.00;;;;;;;0.00
470;AMIROV Karim;RUS;;;;;0.00;;;;;;;;;0.00
472;BURNSIDE Jonathan;IRL;0.00;;;;;;0.00;;;0.00;;;;0.00
473;KAZAKEVICIUS Giedrius;LTU;;;;;0.00;;0.00;;;0.00;;;;0.00
474;DELEZE Cyrille;SUI;;;;;;0.00;;;;;;;;0.00
475;FAGELL Maximilian;SWE;0.00;;;;0.00;;;;;;;;;0.00
476;ZLACKY Filip;SVK;;;0.00;;0.00;0.00;;;;;;;;0.00
477;LOMBARDO Gabriel;BRA;;;0.00;;;0.00;;0.00;;;;;;0.00
478;BARTASKA Matas;LTU;;;;;0.00;;0.00;;;;;;;0.00
479;CADIGNAN CORMIER Stanjik;FRA;0.00;;;;;;;;;;;;;0.00
480;BROUZAS Spyridon;GRE;;;0.00;;;;;;;;;;;0.00
480;ANDRASFI Tibor;HUN;;;;;0.00;;;;;;;;;0.00
482;HORVATH Matyi;SVK;;;;;0.00;;;0.00;;;;;;0.00
483;HOPE Oliver;IRL;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
484;SAAVALAINEN Ellis;FIN;;;;;0.00;;0.00;;;;;;;0.00
485;VINKOVIC Goran;CRO;;;;;;;;;;0.00;;;;0.00
486;MULLER Luis;AUT;0.00;;0.00;;;0.00;;;;;;;;0.00
487;WILHELMSON Axel Emil;FIN;;;;;0.00;0.00;0.00;;;;;;;0.00
488;ROGNON Antoine;SUI;;;;;;0.00;;;;;;;;0.00
489;KLETZ Theo Maurice;ISR;;;;;0.00;0.00;;;;;;;;0.00
489;SGUBBI Mattia;ITA;;;;;;0.00;;0.00;;;;;;0.00
491;HOPE Arran;IRL;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
492;MARTINEZ RIVAS Diego;VEN;;;;;;;;0.00;;;;;;0.00
493;RATTO Francesco;ITA;0.00;;;;;;;0.00;;;;;;0.00
494;SELOI Steeven;FRA;0.00;;;;;0.00;;;;;;;;0.00
495;KOULOS Nikolaos;GRE;;;0.00;;;;;;;;;;;0.00
495;SKENDERIS Georgios;GRE;;;0.00;;;;;;;;;;;0.00
497;ABRAHAMYAN Rafik;ARM;;;;;;;;;;0.00;;;0.00;0.00
498;DURAN Jaime;ESP;;;;;;0.00;;;;;;;;0.00
498;GILLARD Henri;BEL;0.00;;;;;;;;;;;;;0.00
498;SALOKAS Arnas;LTU;;;;;;;0.00;;;;;;;0.00
501;LUCCI Francesco;ITA;;;;;;;;0.00;;;;;;0.00
501;MARKEVICIUS Povilas;LTU;;;;;;;0.00;;;;;;;0.00
503;BONFERRONI Gabriel;SUI;;;;;;0.00;0.00;;;;;;;0.00
504;NAGY Attila;HUN;0.00;;;;;;;;;;;;;0.00
504;PATSIANOTAKIS Charalampos;GRE;;;0.00;;;;;;;;;;;0.00
506;CHESNOKOV Sergey;RUS;;;;;;0.00;;0.00;;;;;;0.00
507;VENCOVSKY Pavel;SVK;0.00;;;;;;;;;;;;;0.00
507;SUNKO Vjeran;CRO;;;;;;;;0.00;;;;;;0.00
507;BACAK Ibrahim;TUR;;;0.00;;;;;;;;;;;0.00
510;STIOUKIS Ioannis;GRE;;;0.00;;;;;;;;;;;0.00
511;BATSUREN Amarbold;MGL;;;;;;;;;;;;;0.00;0.00
511;ALEXOPOULOS Stavros;GRE;;;0.00;;;;;;;;;;;0.00
511;TSAKIRAKIS Theodoros;GRE;;;0.00;;;;;;;;;;;0.00
511;IVANINOKS Aleksejs;LAT;;;;;;;0.00;;;;;;;0.00
511;STADTER Kilian;GER;;;;;;;;0.00;;;;;;0.00
516;VICHI Edoardo;ITA;;;;;;;0.00;;;;;;;0.00
516;BISTROVS Nikita;LAT;;;;;;;0.00;;;;;;;0.00
516;VALENTANAVICS Pavels;LAT;;;;;;;0.00;;;;;;;0.00
519;AL-AHMED Mohammad;KUW;;;;;;;;;;;;;0.00;0.00
520;PUERTO Andres;ESP;0.00;;;;0.00;;;0.00;;;;;;0.00
521;FERNANDEZ PEREZ Javier;ESP;;;;;0.00;0.00;;;;;;;;0.00
522;ILIESKI David;MKD;;;;;;;;;;;;;0.00;0.00
523;SKIOLD Olov;SWE;;;;;0.00;;0.00;;;;;;;0.00
524;JANCEVICS Dmitrijs;LAT;;;;;;;0.00;;;;;;;0.00
524;KAMNEV Nikita;RUS;;;;;;;;0.00;;;;;;0.00
526;VILLALBA Victor;ESP;;;;;0.00;0.00;;;;;;;;0.00
527;ANTTILA Santeri;FIN;;;;;;;0.00;;;;;;;0.00
528;FERRARI Alessandro;ITA;;;;;;;0.00;;;;;;;0.00
528;BENIFEI Aimo;ITA;;;;;;;0.00;;;;;;;0.00
530;STOLAR Samuel;SVK;0.00;;;;0.00;;;0.00;;;;;;0.00
531;FRAS Mieszko;POL;0.00;;;;;;;;;;;;;0.00
531;CENTENO Dante;USA;;;;;;0.00;;;;;;;;0.00
531;PYSAREV Vadym;UKR;;;;;;;;0.00;;;;;;0.00
534;ZRYD Arthur;SUI;;;;;;0.00;;;;;;;;0.00
535;AL SULAITI Ali;QAT;;;;;;;;;;;;;0.00;0.00
535;ROMANI Ricard;ESP;;;;;;;;0.00;;;;;;0.00
537;GUSMAN Agustin Adolfo;ARG;;;;;;;;;;;;;0.00;0.00
538;TORRES VALENCIA Martin;ECU;;;;;;;;0.00;;;;;;0.00
539;ANTONYUK Pavlo;UKR;;;;;0.00;;;;;;;;;0.00
539;SAWA Hiroaki;JPN;0.00;;;;;;;;;;;;;0.00
541;SZABO Karol;SVK;;;;;0.00;;;0.00;;;;;;0.00
542;ECKERT Arnault;SUI;;;;;;0.00;;;;;;;;0.00
542;ROUDBAR Samuel;BEL;0.00;;;;;;;;;;;;;0.00
544;TYCHLER Pavel;RSA;;;;;;;;;;;;;0.00;0.00
545;AJNSZTAJN Alec;BRA;;;;;0.00;;;;;;;;0.00;0.00
546;SHAYMANOV Roman;TJK;;;;;;;;;;;;;0.00;0.00
546;HORVAT Filip;CRO;;;;;;;;0.00;;;;;;0.00
548;KIMFORS Anton;SWE;0.00;;;;;;;;;;;;;0.00
549;DAMAS LOPEZ Jean Franco;VEN;;;;;0.00;;;;;;;;;0.00
549;MORALES Ramiro;URU;;;;;;;;;;;;;0.00;0.00
549;SCHMIDT Leander;GER;0.00;;;;;;;;;;;;;0.00
549;IDDRISU Bashiru;GHA;;;;;;;;;;;;;0.00;0.00
553;RAHBEK Mikkel Christian;DEN;;;;;0.00;;;;;;;;;0.00
554;FRAPPIER Dominique;LUX;0.00;;;;;;;;;;;;;0.00
554;POELZ Lukas;AUT;0.00;;;;;;;;;;;;;0.00
556;ANDREWS Timothy;IRL;0.00;;;;;;;;;;;;;0.00
557;PAOLI Stefano;SUI;0.00;;;;;;;;;;;;;0.00
558;KOLANCZYK Wojciech;POL;;;;;0.00;0.00;;;;;;;;0.00
559;MASSEREY Cyrille;SUI;;;;;;0.00;;;;;;;;0.00
560;MOURI Riku;JPN;0.00;;;;;;;;;;;;;0.00
560;YAMADA Shintaro;JPN;;;;;;0.00;;;;;;;;0.00
562;JURKA Tomas;CZE;0.00;;;;;;;;;;;;;0.00
562;HAYOZ Emilio;SUI;;;;;;0.00;;;;;;;;0.00
564;NOEL Guillaume;BEL;0.00;;;;;;;;;;;;;0.00
565;CAMPILL Marco;LUX;0.00;;;;;;;;;;;;;0.00
566;MIRONOV Amir;ISR;;;;;0.00;;;;;;;;;0.00
567;ARIAS-OLSSON Felix;SWE;0.00;;;;;;;;;;;;;0.00
568;LOKAJ Vaclav;CZE;0.00;;;;0.00;;;;;;;;;0.00
569;FENYVESI Csaba;HUN;0.00;;;;;;;;;;;;;0.00
569;NODA Ryosuke;JPN;;;;;;0.00;;;;;;;;0.00
571;RECLO Martin;SVK;;;;;0.00;;;;;;;;;0.00
571;MATSUURA Seiya;JPN;0.00;;;;;;;;;;;;;0.00
573;ONO Masahide;JPN;;;;;;0.00;;;;;;;;0.00
573;JOHANNS Loic;LUX;0.00;;;;;;;;;;;;;0.00
575;KAARDAL Samuel;CAN;;;;;;0.00;;;;;;;;0.00
576;VAN GILST Sebastiaan;NED;0.00;;;;;0.00;;;;;;;;0.00
577;ILLE Simon;SVK;0.00;;;;0.00;0.00;;;;;;;;0.00
578;CLERCX Robin;BEL;0.00;;;;;;;;;;;;;0.00
579;SIGNORELL Yannick;SUI;;;;;0.00;0.00;;;;;;;;0.00
580;ABDELKADER Ahmed;EGY;;;;;0.00;;;;;;;;;0.00
580;KUCKA Branislav;SVK;;;;;0.00;;;;;;;;;0.00
580;SPANO Gabriel;AUS;;;;;;0.00;;;;;;;;0.00
583;HANESZ Zoltan;SVK;;;;;0.00;;;;;;;;;0.00
584;HARADA Keisuke;JPN;0.00;;;;;;;;;;;;;0.00
585;ERIKSSON Carl-Johan;SWE;0.00;;;;0.00;;;;;;;;;0.00
586;DRENCAK Adam;SVK;;;;;0.00;;;;;;;;;0.00
587;KULT Pavel;CZE;0.00;;;;0.00;;;;;;;;;0.00
588;NEVO Michael;ISR;;;;;0.00;0.00;;;;;;;;0.00
589;ZAPARA Yurii;UKR;;;;;0.00;;;;;;;;;0.00
590;MED Johan Andreas;NOR;0.00;;;;;;;;;;;;;0.00
591;FLATEN Adam Albrigtsen;NOR;0.00;;;;;;;;;;;;;0.00
591;KULKA Peter;SVK;;;;;0.00;;;;;;;;;0.00
591;HATZ Nick;SUI;;;;;;0.00;;;;;;;;0.00
594;KREMSLEITHNER Michael;AUT;0.00;;;;;;;;;;;;;0.00
594;SCHNEIDER Benjamin;GBR;;;;;0.00;;;;;;;;;0.00
596;WELFRINGER Max;LUX;0.00;;;;0.00;;;;;;;;;0.00
597;JACHIET François;LUX;0.00;;;;;;;;;;;;;0.00
598;THEWANGER Emil;AUT;0.00;;;;;;;;;;;;;0.00
599;KIYOTANE Yoshihide;JPN;0.00;;;;;;;;;;;;;0.00
600;HOSS Moritz;LUX;0.00;;;;;;;;;;;;;0.00
601;LUSTI Hannes;SUI;;;;;;0.00;;;;;;;;0.00
602;GEDZO Andzej;EST;;;;;;0.00;;;;;;;;0.00
602;FERRARIN Franky;LUX;0.00;;;;;;;;;;;;;0.00
604;SZABO Tamas;HUN;;;;;;0.00;;;;;;;;0.00
604;VAN GILST Roy;NED;0.00;;;;;;;;;;;;;0.00
606;ALMENDRA Afonso;POR;;;;;;0.00;;;;;;;;0.00
607;YAROKH Sviatoslav;UKR;;;;;0.00;;;;;;;;;0.00
607;VAN DE SLUIS Alex;LUX;0.00;;;;;;;;;;;;;0.00
609;BECKER Olivier;LUX;0.00;;;;;;;;;;;;;0.00
609;MIRKOVIC Blagoje;SRB;;;;;0.00;;;;;;;;;0.00
611;FLOREA Florian;ROU;;;;;0.00;;;;;;;;;0.00
611;HACHISUKA Keita;JPN;0.00;;;;;;;;;;;;;0.00
613;VIDALI Aurel;LUX;0.00;;;;;;;;;;;;;0.00
613;ALVES Goncalo;POR;;;;;;0.00;;;;;;;;0.00
615;BEYRLE Joshua;GER;;;;;;0.00;;;;;;;;0.00
616;KOZMA Kalman;RSA;;;;;0.00;;;;;;;;;0.00
617;TOEGL Lennart;AUT;;;;;;0.00;;;;;;;;0.00
618;PFEIFER Jannik;SUI;;;;;;0.00;;;;;;;;0.00
619;TOR Ozgur;TUR;;;;;;0.00;;;;;;;;0.00
620;PODOLSKYI Vladyslav;UKR;;;;;0.00;;;;;;;;;0.00
621;DUNAJ Denis;SVK;;;;;0.00;;;;;;;;;0.00
622;BARTOS Frantisek;CZE;;;;;0.00;;;;;;;;;0.00
623;SILHAN Jindrich;CZE;;;;;0.00;;;;;;;;;0.00
624;ANDRASI Adrian;SVK;;;;;0.00;;;;;;;;;0.00
625;FROMONT Georges;BEL;;;;;0.00;;;;;;;;;0.00
626;JOHANIDES Lukas Jakub;SVK;;;;;0.00;;;;;;;;;0.00
627;IBRAHIM Medhat;EGY;;;;;0.00;;;;;;;;;0.00
628;QUAADE Emil Oddershede;DEN;;;;;0.00;;;;;;;;;0.00
629;AMOUSSOU Alphonse Carlos;BEN;;;;;;;;;;;;;0.00;0.00
629;AL-SALEHI Saleh Musaed Nasser;YEM;;;;;;;;;;;;;0.00;0.00
629;NURALIEV Shokhrukh;TJK;;;;;;;;;;;;;0.00;0.00
