RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Thessaloniki A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Toronto CHZ;Maribor CHZ;Alger CHZ;Abu Dhabi CHZ;Tashkent CHM;TOTAL
321;ALSHAMMARI Abdulaziz Faris H.;KUW;;2.00;;;;;;;;;;;;2.00
321;BUYANOV Georgiy;RUS;;;;;2.00;;;;;;;;;2.00
323;HORVATH Daniel;HUN;0.00;;;;;2.00;;;;;;;;2.00
324;TERRACCIANO Luca;ITA;;;2.00;;;;;0.00;;;;;;2.00
325;ALSHATTI Abdulrahman;KUW;;2.00;;;;;;;;;;;;2.00
326;BUSCH Max;GER;0.00;;;;0.00;;2.00;;;;;;;2.00
327;GARIFULLIN Emil;RUS;2.00;;;;;;;;;;;;;2.00
328;SZLAMA Patryk;POL;2.00;;;;0.00;0.00;;;;;;;;2.00
329;ORTA Javier;ESP;;;;;;;;2.00;;;;;;2.00
330;MCGLADE Daniel;GBR;0.00;;;;0.00;0.00;;2.00;;;;;;2.00
331;HAZES Luuk;NOR;;;2.00;;;;0.00;;;;;;;2.00
332;DE CLERCQ Henri;BEL;0.00;;0.00;;;0.00;2.00;;;0.00;;;;2.00
333;COLOMA Manuel;ESP;;;;;0.00;2.00;;0.00;;;;;;2.00
334;BARIONOVI Riccardo;ITA;;;2.00;;;;;;;;;;;2.00
335;SAMAYOA Deibyd;GUA;;;;0.00;;;;;;;;;;0.00
335;PARNELL Liam;RSA;;;;;;;;;;;0.00;;;0.00
337;MEMBRENO VASQUEZ Oscar Rodrigo;ESA;;;;0.00;;;;;;;;;;0.00
337;TRAORE Nio;MLI;;;;;;;;;;;0.00;;;0.00
339;REYES SÁNCHEZ Denis Eduardo;ESA;;;;0.00;;;;;;;;;;0.00
339;GEORGIOU Schaeffer;RSA;;;;;;;;;;;0.00;;;0.00
341;DE LEON JARAMILLO Kenny Hashdad;PAN;;;;0.00;;;;;;;;;;0.00
342;MIRANDA Jax;DOM;;;;;;;;;0.00;;;;;0.00
343;MALARET Ryan;PUR;;;;;;;;;0.00;;;;;0.00
344;FORERO RINCON Andres Felipe;COL;;;;;;;;;0.00;;;;;0.00
344;BEAUCHAMP SAALMANN Andre G;PUR;;;;;;;;;0.00;;;;;0.00
346;WEVER Edwin Alexander;ARU;;;;;;;;;0.00;;;;;0.00
347;CHIU Hsuan Chih;TPE;;;;;;;;;;;;0.00;;0.00
348;LOW Aloysius Hoi Yeen;SGP;;;;;;;;;;;;0.00;;0.00
349;LIM Neville Woon Juin;SGP;;;;;;;;;;;;0.00;;0.00
350;TUVSHINJARGAL Anarsaikhan;MGL;;;;;;;;;;;;0.00;0.00;0.00
351;HELWANI Homam;SYR;;;;;;;;;;;;0.00;;0.00
352;ALJNEIBI Ahmed;UAE;;;;;;;;;;;;0.00;;0.00
353;HANWEN Chung;MAS;;;;;;;;;;;;0.00;;0.00
353;ALSHAMMARY Abdulallah Waled;KUW;;0.00;;;;;;;;;;;;0.00
355;MUSTAFFA Haidar;KUW;;0.00;;;;;;;;;;;;0.00
356;SAGNAN Bourama Keba;SEN;;0.00;;;;;;;;;;;;0.00
356;ALTAYAB Ahmad;KSA;;;;;;;;;;;;0.00;;0.00
358;CARVALHO Francisco;POR;;;0.00;;0.00;;;;;0.00;;;;0.00
359;PAVEL Claudiu Marian;ROU;;;0.00;;0.00;;;0.00;;;;;;0.00
360;DI COSTE Samuele;ITA;;;;;0.00;;;0.00;;;;;;0.00
361;AL-HAMMAR Abdullah Salah;KUW;;0.00;;;;;;;;;;;;0.00
361;ALHARBY Mohammed;KUW;;0.00;;;;;;;;;;;;0.00
361;ALKARBI Talal;UAE;;;;;;;;;;;;0.00;;0.00
364;BENDE Bence;HUN;;;;;0.00;;;0.00;;;;;;0.00
365;KAAKINEN Ville;FIN;;;0.00;;;0.00;;;;;;;;0.00
