RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Turku A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Dammam CHZ;Cancun CHZ;Novi Sad CHZ;Bamako CHZ;Bourges CHM;TOTAL
293;JOHANIDES Lukas Jakub;SVK;1.00;;;;0.00;2.00;;0.00;;;0.00;;;3.00
294;TSOKAS Asterios;GRE;;;;;;;;;;;3.00;;;3.00
295;BECKER Olivier;LUX;2.00;;;;;1.00;;;;;;;;3.00
296;SCHNEIDER Benjamin;GBR;;;2.00;;1.00;0.00;;;;;;;;3.00
297;BUDEK Karol;POL;2.00;;;;1.00;0.00;;;;;;;;3.00
298;HOROWITZ Charles;USA;1.00;;2.00;;0.00;0.00;;;;;;;;3.00
299;BUSCH Max;GER;1.00;;;;1.00;0.00;1.00;0.00;;;;;;3.00
300;MIKHALKOU Pavel;BLR;;;;;;;;;;;;;2.50;2.50
301;TYCHLER Pavel;RSA;;;;;;;;;;;;;2.50;2.50
302;YATES Domenic;AUS;;;;;;0.00;;;;;;;2.50;2.50
303;GUBERT Leopoldo;BRA;;;;;;;;;;;;;2.50;2.50
304;EL CHOUEIRY Antoine;LBN;;;;;;0.00;;;;;;;2.50;2.50
305;ALAJMI Abdulhadi;KUW;;2.00;;;;;;;;;;;;2.00
305;BUYANOV Georgiy;RUS;;;2.00;;;;;;;;;;;2.00
305;BUZZACCHINO Gianpaolo;ITA;;;;;;;;2.00;;;;;;2.00
308;MENDOZA Carlos;VEN;0.00;2.00;0.00;;0.00;0.00;0.00;0.00;;;;;;2.00
309;DJATSUK Filipp;EST;;;;;;;2.00;;;;;;;2.00
310;SIDORIN Kirill;RUS;;2.00;;;;;;;;;;;;2.00
311;ABBAS Haidar;KUW;;2.00;;;;;;;;;;;;2.00
311;CZIRAKI Balint;HUN;;;;;;;;2.00;;;;;;2.00
313;KHALEFA Abdulrahman;KUW;;2.00;;;;;;;;;;;;2.00
314;BOBROV Ilian;EST;;;0.00;;;;2.00;;;;;;;2.00
315;WALLA Aaron;AUT;0.00;2.00;0.00;;;0.00;0.00;;;;;;;2.00
316;MALLO Axel;FRA;2.00;;;;;;;;;;;;;2.00
317;SIMSEK Ismail Ege;TUR;;2.00;0.00;;;;0.00;0.00;;;;;;2.00
318;ABED Faisal;KSA;;2.00;;;;0.00;;;0.00;;;;0.00;2.00
319;ALASMAKH Hassan;KSA;;2.00;;;;0.00;;;;;;;;2.00
320;CORRADO Giacomo;ITA;;;;;;;;2.00;;;;;;2.00
321;YATEEM Ahmed Ibrahem;KUW;;2.00;;;;;;;;;;;;2.00
322;ALSHAMMARI Abdulaziz Faris H.;KUW;;2.00;;;;;;;;;;;;2.00
323;ALSHEMERI Rsheed W.;KUW;;2.00;;;;;;;;;;;;2.00
324;MELAAB BACKES Mounir;FRA;2.00;;;;0.00;;;;;;;;;2.00
325;AL-KHRASHAAN Yousef;KUW;;2.00;;;;;;;;;;;;2.00
325;PISKOVATSKOV Jonathan;USA;;;;;;2.00;;;;;;;;2.00
327;BANYAI Botond;HUN;;;;;;;;2.00;;;;;;2.00
328;HESHAM Mohamed;EGY;;2.00;;;;;;;;;;;;2.00
328;GALLY Aymerick;FRA;;;;;;;;2.00;;;;;;2.00
330;HASAN Husain M.a;KUW;;2.00;;;;;;;;;;;;2.00
331;GAETANI Giulio;ITA;;;;;;;2.00;;;;;;;2.00
332;AL-HAMMAR Abdullah Salah;KUW;;2.00;;;;;;;;;;;;2.00
333;PANELIUS Rufus;FIN;;;2.00;;0.00;0.00;0.00;;;;0.00;;0.00;2.00
334;ALAJMI Badr Mohammad;KUW;;2.00;;;;;;;;;;;;2.00
335;ALMUWALLAD Waleed;KSA;;2.00;;;;;;;;;;;;2.00
336;ALOMIRI Sultan;KSA;;2.00;;;;0.00;;;;;;;;2.00
337;CHICHEV Vladimir;RUS;;;;;;2.00;;;;;;;;2.00
338;CIMBOREVICS Ernests;LAT;;;;;;;2.00;;;;;;;2.00
338;AL-HENDAL Hasan;KUW;;2.00;;;;;;;;;;;;2.00
340;VAN GILST Sebastiaan;NED;2.00;;;;;;;;;;;;;2.00
340;AL ATTABI Mostafa;IRQ;;2.00;;;;;;;;;;;;2.00
340;CURATOLO Francesco Matteo;ITA;;;;;;;2.00;;;;;;;2.00
343;FROESCHL Lucas;GER;0.00;;;;;;;2.00;;;;;;2.00
344;ABDELKAWY Ahmed;EGY;;2.00;;;;;;;;;;;;2.00
345;COLAUTTI Daniel;ITA;;;;;;;;2.00;;;;;;2.00
345;ALSHAMMARI Dhary;KUW;;2.00;;;;;;;;;;;;2.00
347;OZTUNC Omer Kaan;TUR;;;;;;2.00;;;;;;;;2.00
347;ALSHAMMARI Fares Fajaa;KUW;;2.00;;;;;;;;;;;;2.00
349;KEPPEL Colin;NED;0.00;;0.00;;0.00;2.00;0.00;0.00;;;0.00;;0.00;2.00
350;ODGERS James;GBR;;;;;;;2.00;0.00;;;;;;2.00
351;BELLI Federico;ITA;;;;;;;;2.00;;;;;;2.00
351;ABDULLAH Khaled;KUW;;2.00;;;;;;;;;;;;2.00
353;SAAVALAINEN Ellis;FIN;0.00;;0.00;;0.00;0.00;2.00;;;;0.00;;;2.00
354;SATO Yasuhiro;JPN;;;;;2.00;0.00;;;;;;;;2.00
355;ZAPARA Yurii;UKR;;;;;1.00;;1.00;;;;;;;2.00
356;WORMAN Craig;GBR;1.00;;;;1.00;0.00;;;;;;;;2.00
357;JURKA Tomas;CZE;;;;;1.00;1.00;;0.00;;;;;;2.00
358;GREBENNIKOV Sergey;RUS;;;;;;;1.00;1.00;;;;;;2.00
359;NIKIEL Marcin;POL;1.00;;;;1.00;;;;;;;;;2.00
360;FJERMESTAD Tord;NOR;;;1.00;;0.00;;1.00;;;;0.00;;;2.00
361;CONSTANTINESCU Ioan;ROU;0.00;;;;1.00;1.00;;;;;;;;2.00
362;ANTONYUK Pavlo;UKR;1.00;;;;0.00;0.00;1.00;;;;;;;2.00
363;PFEIFER Jannik;SUI;;;;;;1.00;1.00;0.00;;;;;;2.00
364;BECKER Philipp;GER;;;;;0.00;1.00;1.00;;;;;;;2.00
365;DOSSOU-GOUIN Axel;NOR;;;0.00;;0.00;;;;;;1.50;;0.00;1.50
366;STARC Luka;SLO;;;;;0.00;;;0.00;;;1.50;;0.00;1.50
367;SANTRAC Danilo;SRB;;;;;;;;;;;1.50;;;1.50
368;CETIC Danilo;SRB;;;;;0.00;;;;;;1.50;;;1.50
369;NIKOLIC Kosta;SRB;;;;;;;;0.00;;;1.50;;;1.50
370;LIMAREV Ivan;RUS;;;;;1.00;;;;;;;;;1.00
371;MICKWITZ Valter;FIN;;;1.00;;0.00;;;;;;;;;1.00
372;ENGLISH Alexander;AUS;;;;;;0.00;1.00;;;;;;;1.00
373;VITELLI Gennaro Maria;ITA;;;1.00;;;;;0.00;;;;;;1.00
374;PONCIN Nicolas;BEL;;;0.00;;0.00;0.00;1.00;;;;;;;1.00
375;TKACHUK Leontii;UKR;1.00;;;;0.00;0.00;;;;;;;;1.00
376;MESZAROS Maximilian;GER;;;;;;;;1.00;;;;;;1.00
377;TAURIAINEN Topias;FIN;;;1.00;;;;;;;;;;0.00;1.00
378;VASSEUR Yoran;FRA;;;;;;0.00;1.00;;;;;;;1.00
379;BOYLE Samuel;GBR;1.00;;0.00;;;0.00;;;;;;;;1.00
380;ALEXANDERSEN Nicolaj;DEN;;;0.00;;;0.00;1.00;;;;0.00;;;1.00
381;RODRIGUEZ Pierre-Emmanuel;FRA;;;;;;;;1.00;;;;;;1.00
382;THEWANGER Emil;AUT;;;;;1.00;0.00;0.00;0.00;;;;;;1.00
383;WILHELMSON Axel Emil;FIN;0.00;;0.00;;0.00;;1.00;;;;;;;1.00
384;LUPRANO Victor;SUI;;;1.00;;0.00;0.00;;0.00;;;;;;1.00
385;YUAN Wesley;USA;;;;;0.00;1.00;;;;;;;;1.00
386;SHITRIT Ron;ISR;;;;;;;;1.00;;;;;;1.00
386;THEIN-SANDLER Adrien;USA;1.00;;;;;;;;;;;;;1.00
388;CLERCX Robin;BEL;;;;;0.00;;1.00;;;;;;;1.00
389;GERINI Luca;SUI;;;;;;1.00;;;;;;;;1.00
390;FRIDMAN Daniel;ISR;;;1.00;;;0.00;;0.00;;;;;;1.00
391;BON Gregory;FRA;1.00;;;;0.00;;;;;;;;;1.00
392;MEUTI Andrea;ITA;;;;;;;;1.00;;;;;;1.00
393;VALCARCEL Victor;ESP;;;;;0.00;;;1.00;;;;;;1.00
394;CAFARO Jack;GBR;;;1.00;;;;;;;;;;;1.00
395;MIKKILA Max;FIN;;;0.00;;0.00;0.00;1.00;;;;;;;1.00
396;FERRARIN Franky;LUX;0.00;;1.00;;0.00;0.00;;0.00;;;;;;1.00
397;TROUMP Maxime;FRA;1.00;;;;;;;;;;;;;1.00
398;SCHOUKER Sacha;SUI;;;1.00;;0.00;0.00;0.00;;;;;;;1.00
399;NAGURNYI Iaroslav;UKR;;;;;;;1.00;;;;;;;1.00
399;WHITE Sean;USA;;;;;1.00;;;;;;;;;1.00
401;DE CLERCQ Henri;BEL;1.00;;0.00;;0.00;;;;;;0.00;;;1.00
402;GOTTWALD Mathias;AUT;;;0.00;;0.00;1.00;0.00;;;;;;;1.00
403;KAAKINEN Ville;FIN;1.00;;0.00;;;;;;;;;;;1.00
404;ZELLER Zachary;USA;1.00;;;;;;;;;;;;;1.00
405;DICKSON Thomas;GBR;0.00;;1.00;;0.00;0.00;;;;;;;;1.00
406;BEZJAK Domen;SLO;;;;;;;;1.00;;;;;;1.00
407;GUIOT Aymeric;BEL;1.00;;;;0.00;0.00;;;;;;;;1.00
408;ANTTILA Santeri;FIN;;;1.00;;0.00;;;;;;;;;1.00
409;SOUMANO Lanfia;MLI;;;;;;;;;;;;0.00;;0.00
410;ALGADI Mohamed;LBA;;;;;;;;;;;;0.00;;0.00
411;DJIBO HASSANE Ibrahim;NIG;;;;;;;;;;;;0.00;;0.00
412;ALGADI Abubaker;LBA;;;;;;;;;;;;0.00;;0.00
413;DE JESUS Juan Francisco;ESA;;;;0.00;;;;;;;;;;0.00
414;MENDOZA Elias;NCA;;;;0.00;;;;;;;;;;0.00
415;CAP Hector;GUA;;;;0.00;;;;;;;;;;0.00
415;JURADO SOSSA Santiago;COL;;;;;;;;;;0.00;;;;0.00
417;RIVERA Luis;GUA;;;;0.00;;;;;;0.00;;;;0.00
418;SANCHEZ VIGIER Lorenzo Javier;PUR;;;;;;;;;;0.00;;;;0.00
419;BOYLAN Daniel C;PER;;;;;;;;;;0.00;;;0.00;0.00
420;NG Fernando;PAN;;;;0.00;;;;;;;;;;0.00
421;PINTO GALINDO Jorge Jacobo;COL;;;;;;;;;;0.00;;;;0.00
422;JULIO Gabriel;BRA;;;;;;;;;;0.00;;;;0.00
423;OJEDA Ivan;CHI;;;;;;;;;;0.00;;;;0.00
424;SABBAGH Omar;JOR;;;;;;;;;0.00;;;;;0.00
425;CHANTHARAPIDOK Tanwa;THA;;;;;;;;;0.00;;;;;0.00
426;ABUSAIF Husain;BRN;;;;;;;;;0.00;;;;;0.00
427;AMANGELDIYEV Nurdos;KAZ;;;;;;;;;0.00;;;;;0.00
428;HELWANI Homam;SYR;;;;;;;;;0.00;;;;;0.00
428;DEEJING Manatsawee;THA;;;;;;;;;0.00;;;;;0.00
430;ALDHAFEERI Mohammad;KUW;;0.00;;;;;;;;;;;;0.00
430;AL-SALEMI Mohammed;YEM;;;;;;;;;0.00;;;;;0.00
432;AL-MALKI Saoud;QAT;;;;;;;;;0.00;;;;;0.00
432;MOHAMMAD Waleed;KUW;;0.00;;;;;;;;;;;;0.00
434;ALHARBY Mohammed;KUW;;0.00;;;;;;;;;;;;0.00
434;MAHBAS Hayder;IRQ;;;;;;;;;0.00;;;;;0.00
436;SHAHDAD Omran;UAE;;;;;;;;;0.00;;;;;0.00
437;ANWAR Abdelwahab;EGY;;0.00;;;;;;;;;;;;0.00
438;MARZOUQ Dhahi;KUW;;0.00;;;;;;;;;;;;0.00
438;JAYATHILAKE Namindu;SRI;;;;;;;;;0.00;;;;;0.00
440;KARUNANAYAKA Chathuka;SRI;;;;;;;;;0.00;;;;;0.00
440;AL SHAMMARI Omar;KUW;;0.00;;;;;;;;;;;;0.00
442;ALBALUSHI Abdulla;BRN;;;;;;;;;0.00;;;;;0.00
442;SALEM Salem J;KUW;;0.00;;;;;;;;;;;;0.00
444;ALABBASI Abdullah;KUW;;0.00;;;;;;;;;;;;0.00
445;ALASHWAK Ahmad;KUW;;0.00;;;;;;;;;;;;0.00
446;THAMER Mohammed Ali;IRQ;;0.00;;;;;;;;;;;;0.00
447;ASAD ALLAH Ali;KUW;;0.00;;;;;;;;;;;;0.00
448;MIKAELIAN Mikael;GEO;;;;;;;;;;;0.00;;;0.00
449;CRUZ Joao Rodrigo;POR;;;;;;;;;;;0.00;;0.00;0.00
450;JUKNA Rokas;LTU;;;;;0.00;;0.00;;;;0.00;;0.00;0.00
451;ARIAS-OLSSON Felix;SWE;;;;;;;;;;;0.00;;;0.00
452;MIRKOVIC Blagoje;SRB;;;;;0.00;;;;;;0.00;;;0.00
453;HATZ Nick;SUI;0.00;;;;;;0.00;0.00;;;;;;0.00
454;EDIN Erik;NOR;;;0.00;;0.00;;0.00;;;;;;;0.00
455;BALCAR Josef;CZE;0.00;;;;0.00;0.00;;0.00;;;;;;0.00
456;SEIDEL Rudger;GER;;;;;;;;0.00;;;;;;0.00
457;GOLEC Maciej;POL;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
458;LUND Leonard;SWE;;;0.00;;;0.00;;;;;;;;0.00
459;NOEL Guillaume;BEL;0.00;;;;;;;;;;;;;0.00
459;MILLER Malcolm;BRA;;;;;;;;;;;;;0.00;0.00
461;SELLS Alexander;AUS;0.00;;;;;0.00;0.00;;;;;;0.00;0.00
462;ZELENSKIY Yevgeniy;UKR;0.00;;;;0.00;;;;;;;;;0.00
463;RAYNIS Jake;USA;;;;;;0.00;;;;;;;;0.00
463;FOUSTANAKIS Stylianos-Rafail;GRE;;;;;;;;;;;0.00;;;0.00
465;STRNAD Ondrej;CZE;;;;;0.00;0.00;;;;;;;;0.00
466;HERVAS Guillermo;ESP;;;;;0.00;;;0.00;;;;;;0.00
467;STADTER Kilian;GER;0.00;;;;;;;0.00;;;;;;0.00
468;VALENTANAVICS Pavels;LAT;;;;;;;0.00;;;;;;;0.00
469;BARTASKA Matas;LTU;;;0.00;;0.00;;0.00;;;;0.00;;;0.00
470;CROOK Lachlan;AUS;;;;;;0.00;0.00;;;;;;0.00;0.00
471;HEMELAERS Robbe;BEL;0.00;;0.00;;;0.00;0.00;;;;;;;0.00
472;KIMFORS Anton;SWE;;;;;0.00;0.00;;;;;;;;0.00
473;MORRIS George;GBR;;;0.00;;;;;;;;;;;0.00
474;THEIJSSEN Rik;NED;0.00;;0.00;;0.00;0.00;;0.00;;;0.00;;;0.00
475;SONLIETI Alessandro;ITA;;;;;;;0.00;;;;;;;0.00
476;HAYES Isaac;AUS;;;;;;0.00;0.00;;;;;;0.00;0.00
477;BARBIERI Tommaso;ITA;;;;;;;0.00;;;;;;;0.00
477;TIKTOPOULOS Alexandros Constantinos;GRE;;;;;;;;;;;0.00;;;0.00
479;EPURESCU Andrei;ROU;0.00;;;;;;;;;;;;;0.00
480;BURNSIDE Jonathan;IRL;0.00;;0.00;;0.00;;0.00;;;;0.00;;0.00;0.00
481;FATEYEV Yegor;KAZ;;;;;;;;0.00;;;;;0.00;0.00
482;PAAVOLAINEN Vaino;FIN;;;0.00;;;;;;;;;;;0.00
482;SPEZIA Francesco;ITA;;;;;;;0.00;;;;;;;0.00
484;ANDRIYASHKIN Pavel;RUS;;;0.00;;;;;;;;;;;0.00
484;SCARSI Mauro;ITA;;;;;;;0.00;;;;;;;0.00
484;SZILAGYI Balazs;HUN;;;;;;;;;;;0.00;;;0.00
487;BELIANINOV Daniil;RUS;;;0.00;;;;;;;;;;;0.00
487;TAN Lawrence Everett;PHI;;;;;;;;;;;;;0.00;0.00
489;BIANCO Gabriele;ITA;;;;;;;;0.00;;;;;;0.00
490;STORCHAY Anton;UKR;;;;;0.00;;;0.00;;;;;;0.00
491;DELEZE Cyrille;SUI;0.00;;;;;;;;;;;;;0.00
491;CARUGO River;ITA;;;;;;;0.00;;;;;;;0.00
493;RAPPE Bastien;BEL;0.00;;0.00;;;0.00;0.00;;;;;;;0.00
494;RODRIGUEZ GONZALEZ Javier;ESP;;;;;0.00;;;;;;;;;0.00
494;TAJIRI Kodai;JPN;0.00;;;;;;;;;;;;;0.00
494;PRIOR Cameron;GBR;;;0.00;;;;;;;;;;;0.00
494;HAUGAN Max Henrik;NOR;;;;;;;0.00;;;;;;;0.00
498;TAMMOJA Mike;EST;0.00;;0.00;;;;0.00;;;;;;;0.00
499;BALMORI Diego;ESP;;;;;;;;0.00;;;;;;0.00
500;HOFFMANN Thomas;GBR;0.00;;0.00;;0.00;;;;;;;;;0.00
501;KITAMURA Tomohiro;JPN;0.00;;;;;;;;;;;;;0.00
502;HLAVA Marek;CZE;;;;;0.00;;;0.00;;;;;;0.00
503;VAIVADA Dovydas;LTU;;;;;;;0.00;;;;;;;0.00
504;PEETERS Kamiel;BEL;0.00;;0.00;;0.00;0.00;0.00;;;;;;;0.00
505;VOLAK Samuel;CZE;0.00;;;;;;;;;;;;;0.00
506;GONELL Gerard;ESP;;;;;0.00;0.00;;;;;;;;0.00
507;TIMO Davide;ITA;;;;;;;;0.00;;;;;;0.00
507;RUSHOLME COBB Isaac;NZL;;;;;;;;;;;;;0.00;0.00
509;GELMAN Roni;ISR;;;;;;;;0.00;;;;;;0.00
509;CROUSE Ulfric;USA;0.00;;;;;;;;;;;;;0.00
511;CUCOS Alex;CAN;;;;;;0.00;;;;;;;0.00;0.00
512;EWART Stephen;USA;;;0.00;;;;;;;;;;;0.00
513;DEMIR Engin Tugrul;TUR;;;;;;;0.00;;;;;;;0.00
513;NGUYEN Duc Tai;VIE;;;;;;;;;;;;;0.00;0.00
515;BIGEA Mihai;ROU;;;;;0.00;;;;;;;;;0.00
516;ALEGRE Rodrigo;ESP;;;;;0.00;;;0.00;;;;;;0.00
517;NETTEMAN Lars;LUX;0.00;;;;0.00;;;;;;;;;0.00
518;CHEN Zachary Yi;SGP;;;;;;;;;;;;;0.00;0.00
519;PUCHACHER Felix;AUT;;;0.00;;0.00;;0.00;0.00;;;;;;0.00
520;JOHANNS Loic;LUX;0.00;;;;0.00;0.00;;;;;;;;0.00
521;TIHANE Juri;FIN;;;0.00;;;;;;;;;;;0.00
522;TOEGL Lennart;AUT;;;0.00;;0.00;;0.00;;;;;;;0.00
523;BEYRLE Joshua;GER;0.00;;;;;;;;;;;;;0.00
523;BUZZI Giovanni Battista;ITA;;;;;;;;0.00;;;;;;0.00
523;TIA Hans Calixte De Bre;CIV;;;;;;;;;;;;;0.00;0.00
523;SVENSSON Jonathan;SWE;;;0.00;;;;;;;;;;;0.00
527;YAROKH Sviatoslav;UKR;;;;;0.00;;0.00;;;;;;;0.00
528;HESSLING OSCARSON Simon;SWE;;;0.00;;0.00;0.00;;;;;;;;0.00
529;BISTROVS Nikita;LAT;;;;;;;0.00;;;;;;;0.00
530;MULLER Luis;AUT;0.00;;0.00;;;;;;;;;;;0.00
531;SANUDO Carlos;MEX;;;;;;;;;;;;;0.00;0.00
532;MYKLEBUST Hans Magne;NOR;;;0.00;;0.00;;0.00;;;;;;;0.00
533;WENZEL Tijan;SLO;;;;;0.00;;;0.00;;;;;;0.00
534;KOIVUNEN Joonas;FIN;;;0.00;;;;;;;;;;;0.00
535;LACHIANI Tomer;ISR;;;;;;0.00;;;;;;;;0.00
535;ZLENKO Daniels;LAT;;;;;;;0.00;;;;;;;0.00
535;LI Ming Leong;HKG;;;;;;;;0.00;;;;;;0.00
538;TERHO Jussi;FIN;;;0.00;;;;;;;;;;;0.00
538;KAZAKEVICIUS Marius;LTU;;;;;;;0.00;;;;;;;0.00
540;LOKAJ Vaclav;CZE;;;;;0.00;0.00;;0.00;;;;;;0.00
541;FRIIS RUUD Emil;NOR;;;0.00;;0.00;;0.00;;;;;;;0.00
542;WEINIUS Gustaf;SWE;;;0.00;;0.00;0.00;;;;;;;;0.00
543;MARKEVICIUS Povilas;LTU;;;;;0.00;;0.00;;;;;;;0.00
544;BUNNEY Lachlan;AUS;;;;;;;;0.00;;;;;;0.00
545;KULKA Peter;SVK;0.00;;;;0.00;;;0.00;;;;;;0.00
546;HASSUM Joshua;AUS;;;;;;0.00;0.00;;;;;;;0.00
547;KILJANDER Oskar;FIN;;;0.00;;;;;;;;;;;0.00
547;LUSTI Hannes;SUI;;;;;;0.00;;;;;;;;0.00
549;FULSCHER STEGER Till;SUI;;;;;;;0.00;0.00;;;;;;0.00
550;RAEDER Anton;NOR;;;0.00;;;;;;;;;;;0.00
550;MOURI Riku;JPN;0.00;;;;;;;;;;;;;0.00
552;TAMURA Masayuki;JPN;;;;;0.00;0.00;;;;;;;;0.00
553;LIM Neville Woon Juin;SGP;;;;;;;;;;;;;0.00;0.00
553;KATO Masami;JPN;0.00;;;;;;;;;;;;;0.00
555;KOCK Joachim;FIN;;;0.00;;0.00;0.00;0.00;;;;;;;0.00
556;KUCKA Branislav;SVK;;;;;0.00;;;0.00;;;;;;0.00
557;KRAHER Martin;AUT;;;;;0.00;0.00;0.00;0.00;;;;;;0.00
558;KANEKAWA Akihiro;JPN;0.00;;;;;;;;;;;;;0.00
559;VELESTUK Isaac;CAN;;;;;;0.00;;;;;;;;0.00
559;ONISHI Kaito;JPN;0.00;;;;;;;;;;;;;0.00
561;MORRIS Mark;AUS;;;;;;0.00;0.00;;;;;;;0.00
562;MORIYA So;JPN;0.00;;;;;;;;;;;;;0.00
563;HOPE Arran;IRL;0.00;;0.00;;;;;;;;;;;0.00
564;LAU Ho Fung;HKG;;;;;;;;0.00;;;;;;0.00
564;KRUGLOVS Nikita;LAT;;;;;;;0.00;;;;;;;0.00
566;ONOFRE Rafael;POR;;;;;;0.00;;;;;;;;0.00
566;SOGO Masaya;JPN;0.00;;;;;;;;;;;;;0.00
566;FITKEVICIUS Algirdas;LTU;;;;;;;0.00;;;;;;;0.00
569;WELFRINGER Max;LUX;0.00;;0.00;;;;;;;;;;;0.00
570;SALOKAS Arnas;LTU;;;;;0.00;;0.00;;;;;;;0.00
571;PEH Kelvin;AUS;;;;;;0.00;0.00;;;;;;;0.00
572;PAJU Raul;EST;;;0.00;;;;;;;;;;;0.00
573;FARSTAD Hakon Kolden;NOR;;;0.00;;;;;;;;;;;0.00
574;SON Taejin;KOR;;;;;;;;;;;;;0.00;0.00
574;BUKREK Ozgur Guney;TUR;;;;;;;0.00;;;;;;;0.00
574;HO Hon Kiu;HKG;;;;;;;;0.00;;;;;;0.00
577;ZALESAK Adam;SVK;0.00;;;;;;;;;;;;;0.00
578;HOPE Oliver;IRL;0.00;;0.00;;;;;;;;;;;0.00
579;KWON Jaeseon;KOR;;;;;;;;;;;;;0.00;0.00
580;GYLLENHOFF Anders;SWE;;;0.00;;0.00;0.00;;;;;;;;0.00
581;SKOGSTER Moritz;FIN;;;0.00;;;;;;;;;;;0.00
581;BILLON Maxime;CAN;;;;;;0.00;;;;;;;;0.00
583;HORVATH Matyi;SVK;;;;;0.00;0.00;;0.00;;;;;;0.00
584;LEE Samuel;SGP;;;;;;;;;;;;;0.00;0.00
585;SCHLESSER Gregory;LUX;0.00;;0.00;;0.00;0.00;;;;;;;;0.00
586;SZABO Karol;SVK;;;;;0.00;;;0.00;;;;;;0.00
587;INOUE Takatomi;JPN;0.00;;;;;;;;;;;;;0.00
588;LOMBARDO Gabriel;BRA;;;;;0.00;;;0.00;;;;;;0.00
589;VIDALI Aurel;LUX;0.00;;;;;;;;;;;;;0.00
590;SATKAUSKAS Kasparas;LTU;;;0.00;;0.00;;;;;;;;;0.00
591;ANDREWS Timothy;IRL;0.00;;;;;;;;;;;;;0.00
591;BASGUN Mert Baris;TUR;;;;;0.00;;;;;;;;;0.00
593;HOSS Moritz;LUX;0.00;;;;0.00;0.00;;;;;;;;0.00
594;WOLTER Laurian;LUX;0.00;;;;;0.00;;;;;;;;0.00
595;POERS Gregor;SLO;;;;;;;;0.00;;;;;;0.00
596;KLETZ Theo Maurice;ISR;;;0.00;;;;;;;;;;;0.00
597;GARCIA DE SANTOS Victor Javier;ESP;;;;;;;;0.00;;;;;;0.00
598;SAY Ali Ege;TUR;;;;;0.00;0.00;;;;;;;;0.00
599;HAGBERG David;SWE;;;0.00;;;;;;;;;;;0.00
599;PARNELL Liam;RSA;;;;;;;;;;;;;0.00;0.00
599;NURALIEV Shakhriyor;TJK;;;;;;;;;;;;;0.00;0.00
602;DRENCAK Adam;SVK;;;;;0.00;;;;;;;;;0.00
602;MATEVOSOV Artem;UKR;;;;;0.00;;;;;;;;;0.00
604;LIPSANEN Tommi;FIN;;;0.00;;;;;;;;;;;0.00
604;AYALA ARMENTA Josue David;COL;;;;;;;;;;;;;0.00;0.00
606;YAVUZ Yusuf Islam;TUR;;;;;;;;0.00;;;;;;0.00
607;ORTA Javier;ESP;;;;;0.00;;;;;;;;;0.00
608;SATO Shota;JPN;;;;;0.00;0.00;;;;;;;;0.00
609;HOWITT Andrew;RSA;;;;;;;;;;;;;0.00;0.00
610;STENVALL Rurik;FIN;;;0.00;;;;;;;;;;;0.00
611;AKAY Ugur;TUR;;;;;;;;0.00;;;;;;0.00
611;ARTAR Ihsan Firat;TUR;;;;;;;;0.00;;;;;;0.00
613;MASSEREY Cyrille;SUI;;;;;;0.00;;;;;;;;0.00
613;MATSUURA Seiya;JPN;;;;;0.00;;;;;;;;;0.00
613;SAVELAINEN Joonas;FIN;;;0.00;;;;;;;;;;;0.00
613;SAVIN Alexandr;KAZ;;;;;;;;;;;;;0.00;0.00
617;BRKLJACIC Marko;CRO;;;;;0.00;;;0.00;;;;;;0.00
618;HAMALAINEN Roni;FIN;;;0.00;;;;;;;;;;;0.00
618;HAYOZ Emilio;SUI;;;;;;0.00;;;;;;;;0.00
618;GAVRILUT Daniel;ROU;;;;;0.00;;;;;;;;;0.00
618;LYMANSKYI Pavlo;UKR;;;;;0.00;;;;;;;;;0.00
622;PASCHUK Mikhail;EST;;;0.00;;;;;;;;;;;0.00
622;YUSUFOV Islam;AZE;;;;;;;;;;;;;0.00;0.00
624;PASAOGLU Omer Faruk;TUR;;;;;;;;0.00;;;;;;0.00
625;HUNGERBUHLER Nicolas;SUI;;;;;;0.00;;;;;;;;0.00
626;ILLE Simon;SVK;;;;;0.00;0.00;;;;;;;;0.00
627;TIAN John;AUS;;;;;;0.00;;;;;;;;0.00
628;ELIOT David;CAN;;;;;;0.00;;;;;;;;0.00
629;DRAGOI Nicolae;ROU;;;;;0.00;;;;;;;;;0.00
630;CHEONG Jefferson Jia Hui;SGP;;;;;0.00;;;;;;;;;0.00
631;MIHRIOGLU Harun;TUR;;;;;0.00;;;;;;;;;0.00
631;SZURLEJ Bartlomiej;POL;;;;;;0.00;;;;;;;;0.00
633;ELFOULY Abdullah;EGY;;;;;0.00;;;;;;;;;0.00
634;KRALEV Presiyan;BUL;;;;;0.00;;;;;;;;;0.00
635;CHU Sum Wai;HKG;;;;;;0.00;;;;;;;;0.00
636;KAWAKITA Shinkai;JPN;;;;;;0.00;;;;;;;;0.00
637;BERGDAHL Tjalve;SWE;;;;;0.00;;;;;;;;;0.00
637;LESIAK Piotr;POL;;;;;0.00;;;;;;;;;0.00
639;CERRUTI Stefan;SUI;;;;;;0.00;;;;;;;;0.00
640;LACH Lukas;AUT;;;;;0.00;;;;;;;;;0.00
641;RODUNG Ludvig;SWE;;;;;0.00;;;;;;;;;0.00
