RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Turku A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Dammam CHZ;Cancun CHZ;Novi Sad CHZ;Bamako CHZ;Bourges CHM;TOTAL
84;BUTA Levente;HUN;;;14.00;;2.00;2.00;;2.00;;;;;;20.00
85;BRADFORD Jack;USA;8.00;;;;0.00;;;;;12.00;;;;20.00
86;RIVERA RIVERA Christian J.;PUR;;;;8.00;;;;;;12.00;;;;20.00
87;FOUGY Nathan;FRA;2.00;;;;4.00;2.00;4.00;8.00;;;;;;20.00
88;JANG Hyomin;KOR;;;;;;;;;;;;;20.00;20.00
89;ARTIUKHOV Viktor;RUS;;;2.00;14.00;0.00;0.00;2.00;1.00;;;;;;19.00
90;BRINKMANN Marco;GER;1.00;;;;0.00;0.00;8.00;2.00;;;3.00;;5.00;19.00
91;DABIJA Adrian;ROU;0.00;;;;1.00;2.00;;;;;6.00;;10.00;19.00
92;DEWANDELEER Florian;BEL;1.00;;2.00;;0.00;1.00;8.00;;;;1.50;;5.00;18.50
93;ESKOV Ruslan;EST;;;2.00;;8.00;0.00;2.00;;;;6.00;;0.00;18.00
94;SINCLAIR Aml;GBR;1.00;;0.00;;2.00;8.00;;1.00;;;6.00;;;18.00
95;CANZONERI Davide;ITA;1.00;;;;4.00;8.00;;2.00;;;;;2.50;17.50
96;GUSMAN Agustin Adolfo;ARG;;;;;;;;;;12.00;;;5.00;17.00
97;GUZHIEV Egor;RUS;;4.00;4.00;;1.00;4.00;;4.00;;;;;;17.00
98;PISKOVATSKOV Anton;USA;2.00;;2.00;;8.00;2.00;;;;;;;2.50;16.50
99;ANDRASFI Tibor;HUN;;;0.00;;14.00;1.00;;1.00;;;;;;16.00
100;KOCH Mate Tamas;HUN;;;2.00;;4.00;8.00;;1.00;;;;;;15.00
101;CONRAD Nicolas;FRA;2.00;;;;8.00;2.00;1.00;2.00;;;;;;15.00
102;NG Ho Tin;HKG;;;;;;;;;12.00;;;;2.50;14.50
103;LUGO Grabiel;VEN;;;;;;;;;;12.00;;;2.50;14.50
104;BONAMIGO Gabriel;BRA;;;;;;;;;;12.00;;;2.50;14.50
105;KELLERMAN Alexandr;KAZ;;;;;;0.00;;2.00;12.00;;;;;14.00
106;MARTINI Cosimo;ITA;1.00;;;;8.00;4.00;;1.00;;;;;;14.00
107;GORBACHUK Yevgeniy;UKR;8.00;;;;2.00;0.00;1.00;;;;3.00;;0.00;14.00
108;DUBOUSKI Pavel;BLR;;2.00;2.00;;0.00;;2.00;;;;3.00;;5.00;14.00
109;ZAGORUIKO ZYKOV Ivan;USA;;;8.00;;2.00;1.00;;;;;;;2.50;13.50
110;RICCI Bernardo;ITA;;;;;1.00;8.00;;4.00;;;;;;13.00
111;ZANCANELLA Amedeo;ITA;2.00;;;;4.00;4.00;1.00;2.00;;;;;;13.00
112;BARTISSOL Jose;POR;;;;;0.00;;;;;;3.00;;10.00;13.00
113;WEBER Frederik;SUI;4.00;;1.00;;2.00;1.00;1.00;4.00;;;;;;13.00
114;D'AMICO Kristian;CZE;1.00;;;;2.00;1.00;;0.00;;;6.00;;2.50;12.50
115;SAGNAN Bourama Keba;SEN;;;;;;;;;;;;12.00;0.00;12.00
116;LALOR Matson;CAN;;;;;;0.00;;;;12.00;;;0.00;12.00
117;BENYAHIA Mohamed;ALG;;;;;;;;;;;;12.00;;12.00
118;BELLOMI Luca;ITA;2.00;;8.00;;;2.00;;0.00;;;;;;12.00
119;MAK Lok Man;HKG;;;;;;;;0.00;12.00;;;;0.00;12.00
120;ABUJTELA Abdussalam;LBA;;;;;;;;;;;;12.00;;12.00
121;ALIMOV Fayzulla;UZB;;;;;;;;;12.00;;;;;12.00
121;THERA Ely;MLI;;;;;;;;;;;;12.00;;12.00
123;DEMBELE Aly;MLI;;;;;;;;;;;;12.00;;12.00
124;HO Wai Hang;HKG;;;;;;;;;12.00;;;;0.00;12.00
125;BOUROUAG Kais;ALG;;;;;;;;;;;;12.00;0.00;12.00
126;COHEN Bennett;USA;;;;;;0.00;;;;12.00;;;;12.00
127;ATHOKPAM Lenin Meetei;IND;;;;;;;;;12.00;;;;;12.00
128;KOMATA Akira;JPN;;;;;1.00;1.00;;;;;;;10.00;12.00
129;ELSAYED Ahmed;EGY;;4.00;;;1.00;0.00;;2.00;;;;;5.00;12.00
130;ABATE Riccardo;ITA;8.00;;1.00;;0.00;0.00;;2.00;;;;;;11.00
131;POSTMA Randy;NED;;;;;;;;;;;6.00;;5.00;11.00
132;OSWALD Charles-Eric;SUI;2.00;;1.00;;2.00;0.00;4.00;2.00;;;;;;11.00
133;HOVIKYAN Eduard;ARM;;;;;0.00;;;;;;6.00;;5.00;11.00
134;HORETSKYY Ivan;UKR;;;;;2.00;2.00;1.00;1.00;;;0.00;;5.00;11.00
135;GALPER Stanislav;ISR;;;;;;;;8.00;;;;;2.50;10.50
136;LAPIN Simon;BEL;0.00;;2.00;;0.00;1.00;1.00;;;;1.50;;5.00;10.50
137;SZLAMA Patryk;POL;8.00;;2.00;;0.00;;;;;;;;;10.00
138;CIPAR Jan;SVK;0.00;8.00;2.00;;0.00;0.00;;0.00;;;;;;10.00
139;ABDRAKHMAN UULU Kubatbek;KGZ;;;;4.00;;;;;6.00;;;;;10.00
140;LUBIENIECKI Wojciech;POL;0.00;;4.00;;2.00;4.00;;;;;;;;10.00
141;CASARO Gianluca;ITA;4.00;;;;4.00;0.00;;2.00;;;;;;10.00
142;SIMMONS Ariel;USA;4.00;;1.00;;1.00;4.00;;;;;;;;10.00
143;LEE Seunghyun;KOR;;;;;;;;;;;;;10.00;10.00
144;POPOVICI Michael;USA;4.00;;4.00;;2.00;;;;;;;;;10.00
145;BORISEVICH Yavgen;BLR;;;2.00;;2.00;;4.00;;;;1.50;;;9.50
146;ALHUSSAIN Ahmad Abbas I.;KSA;;4.00;0.00;;;0.00;;;3.00;;;;2.50;9.50
147;PHILIPPE Arthur;FRA;;;;;0.00;0.00;8.00;1.00;;;;;;9.00
148;JOHNSON Wesley;USA;1.00;;4.00;;4.00;0.00;;;;;;;;9.00
