RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
97;SALMAN Alialjasad;IRQ;;;;14.00;;;;;;;;;;14.00
97;LUBIENIECKI Wojciech;POL;;;;;;;;14.00;;;;;;14.00
99;CONTRERAS David;GUA;14.00;;;;;;;;0.00;;;;;14.00
100;BAKOS Balint;HUN;;0.00;;;;;;14.00;;;;;;14.00
101;SIKLOSI Gergely;HUN;;2.00;;;;4.00;;8.00;;;;;;14.00
102;HERNANDEZ Moises;GUA;8.00;;;;;;;;6.00;;;;;14.00
103;SIMONI Pierre;FRA;;8.00;;;2.00;0.00;4.00;;;;;;;14.00
104;HADDAD Zeid;JOR;;;;8.00;;;;;;;;6.00;;14.00
105;SIDOROVICH Yan;RUS;;;8.00;;2.00;2.00;;2.00;;;;;;14.00
106;CASARO Gianluca;ITA;;0.00;8.00;;4.00;2.00;;;;;;;;14.00
107;REYES SÁNCHEZ Denis Eduardo;ESA;8.00;;;;;;;;6.00;;;;;14.00
108;HUTCHINSON Kerr;CAN;;;;;;2.00;;;12.00;;;;0.00;14.00
109;ANIL Murtaza Berkan;TUR;;;;4.00;0.00;;;2.00;;3.00;;;5.00;14.00
110;STYMNE Jakob;SWE;;0.00;4.00;;;2.00;0.00;;;3.00;;;5.00;14.00
111;BERGAMINI Enrico;ITA;;4.00;2.00;;2.00;4.00;2.00;;;;;;;14.00
112;ROK Mateusz;POL;;0.00;2.00;;;2.00;4.00;2.00;;3.00;;;;13.00
113;VAULIN Oleksandr;UKR;;0.00;4.00;;2.00;;2.00;2.00;;3.00;;;;13.00
114;TAKEDA Jin;JPN;;;;;0.00;;0.00;;;;;12.00;;12.00
115;LIZARRAGA Juan Carlos;MEX;;;;;;;0.00;0.00;12.00;;;;;12.00
116;LYSSOV Alexandre;CAN;;;;;;0.00;;;12.00;;;;;12.00
117;TING Hong Kai;TPE;;;;;;;;;;;;12.00;;12.00
118;PINILLA Arthur;COL;;;;;;;;;12.00;;;;0.00;12.00
119;ZHU Haiyu;CHN;;;;;;;;;;;;12.00;;12.00
120;ASSIS Gabriel;BRA;;;;;;;;;12.00;;;;;12.00
121;ALAJMI Abdulhadi;KUW;;;;;;;;;;;;12.00;0.00;12.00
122;ORTIZ Yoshua A.;PUR;;;;;;;;;12.00;;;;;12.00
123;AKENTYEV Sergey;KAZ;;;;;;;;0.00;;;;12.00;0.00;12.00
124;CORRENTI Baptiste;FRA;;2.00;;;2.00;4.00;4.00;;;;;;;12.00
125;ISLAS FLYGARE Linus;SWE;;;4.00;;;;0.00;;;3.00;;;5.00;12.00
126;RODRIGUES Luiz;BRA;;;;;0.00;0.00;0.00;0.00;6.00;;;;5.00;11.00
127;MESTDAGH Frederic;BEL;;2.00;4.00;;;0.00;0.00;0.00;;0.00;;;5.00;11.00
128;MANZINI Thulani;RSA;;;;;;;;;;;0.00;;10.00;10.00
129;GUINAN Joseph;USA;;2.00;8.00;;;;0.00;;;;;;;10.00
130;CRECCHI Bernardo;ITA;;;0.00;;8.00;2.00;;0.00;;;;;;10.00
131;AAGENAES Haakon;NOR;;0.00;2.00;;;;0.00;8.00;;;;;0.00;10.00
132;KOENIGSWIESER Justus;AUT;;0.00;0.00;8.00;2.00;0.00;;;;0.00;;;0.00;10.00
133;MA Segeon;KOR;;;;;;;;;;;;;10.00;10.00
134;SIMMONS Ariel;USA;;4.00;4.00;;2.00;;;;;;;;;10.00
135;ALSHEIKHYOUSEF Nidal;JOR;;;;4.00;;;;;;;;6.00;;10.00
136;ALLEGRE Paul;FRA;;4.00;;;0.00;2.00;4.00;;;;;;;10.00
137;MANGOLD Simon;GER;;0.00;;;2.00;4.00;4.00;;;;;;;10.00
138;DANILEJKO Maxim;GER;;2.00;;;4.00;0.00;4.00;;;;;;;10.00
139;JEONG Dongju;KOR;;;;;;;;;;;;;10.00;10.00
140;SYCH Yan;UKR;;0.00;2.00;;2.00;;2.00;4.00;;;;;;10.00
141;HOVIKYAN Eduard;ARM;;;;4.00;;;;;;;;;5.00;9.00
142;MAISTO Davide Amodio;ITA;;0.00;2.00;;0.00;2.00;2.00;;;3.00;;;;9.00
143;FAAL Omid;IRI;;;;8.00;;;;;;;;;;8.00
144;RUIZ BARRANTES Daniel;CRC;8.00;;;;;;;;;;;;;8.00
145;KANANI Amir Reza;IRI;;;;8.00;;;;;;;;;;8.00
145;RAMIREZ DE LEON Luis Fernando;GUA;8.00;;;;;;;;;;;;;8.00
147;AHMED Dhahi;IRQ;;;;8.00;;;;;;;;;;8.00
147;ROMERO MENDEZ Gabriel;CRC;8.00;;;;;;;;;;;;;8.00
149;PACAY Carlos;GUA;8.00;;;;;;;;;;;;;8.00
150;DAGANI Elia;SUI;;;;;0.00;;8.00;;;;;;;8.00
151;MIRANDA RODRIGUEZ Ignacio;CRC;8.00;;;;;;;;;;;;;8.00
152;DE JESUS Juan Francisco;ESA;8.00;;;;;;;;0.00;;;;;8.00
153;WAN Justin;USA;;;;;8.00;;;;;;;;;8.00
153;SCARSI Simone;ITA;;;;;;;8.00;;;;;;;8.00
155;ADAMITIS Noah;USA;;;;;8.00;;0.00;;;;;;;8.00
156;DEWANDELEER Florian;BEL;;;;;0.00;8.00;;;;;;;;8.00
157;RAMEZANI Saeid;IRI;;;;8.00;;;;;;;;;0.00;8.00
158;AL SHAMARI Mohammed;QAT;;;;2.00;;;;;;;;6.00;0.00;8.00
159;CANAUX Gabriel;USA;;4.00;;;0.00;;4.00;;;;;;;8.00
160;MAKHONIN Oleksiy;UKR;;0.00;0.00;;4.00;;;4.00;;;;;;8.00
161;KOCH Samuel;USA;;0.00;4.00;;0.00;;4.00;;;;;;;8.00
162;PUCHACHER Lukas;AUT;;2.00;0.00;4.00;2.00;0.00;;;;;;;;8.00
163;POZDNYAKOV Maxim;ISR;;;;;;;0.00;;;3.00;;;5.00;8.00
164;BEIK Behnam;IRI;;;;4.00;;;;;;;;3.00;;7.00
165;BARTISSOL Jose;POR;;;;;;;2.00;;;;;;5.00;7.00
166;NURMATOV Javokhirbek;UZB;;;;;;;;;;;;6.00;0.00;6.00
167;MCGRATH Matthew Garrett;USA;;4.00;2.00;;0.00;;;;;;;;;6.00
168;VOLKOV Danila;RUS;;0.00;;;;2.00;;4.00;;;;;;6.00
169;SHARLAIMOV Vadim;KAZ;;;;;;;0.00;0.00;;;;6.00;0.00;6.00
170;CANCHEZ SIFUENTES Federico;PER;;;;;;;;;6.00;;;;0.00;6.00
171;KIS Mate;HUN;;2.00;;;4.00;;;0.00;;;;;;6.00
172;YAU Shun Him Himson;HKG;;;;;;;;;;;;6.00;0.00;6.00
173;CHIEN Kei Hsu Albert;HKG;;;;;;;;;;;;6.00;0.00;6.00
174;PALZA PAREDES Nicolas Renato;PER;;;;;;;;;6.00;;;;;6.00
175;CHUANG Po Yu;TPE;;;;;;;;;;;;6.00;0.00;6.00
176;CENTENO Leddy;NCA;;;;;;;;;6.00;;;;;6.00
177;CAMARGO Alexandre;BRA;;;;;;;;;6.00;;;;0.00;6.00
178;HASSAN Ali H.a.m;KUW;;;;;;;;;;;;6.00;0.00;6.00
179;HOUSE Alex;USA;;4.00;2.00;;0.00;;;;;;;;;6.00
180;ALIMOV Fayzulla;UZB;;;;;;;;;;;;6.00;0.00;6.00
181;ZEVALLOS Alejandro;PER;;;;;;;;;6.00;;;;;6.00
182;FREIMAN Samuel;USA;;0.00;2.00;;4.00;;0.00;;;;;;;6.00
183;SALEM James;USA;;0.00;4.00;;;;2.00;;;;;;;6.00
184;BOGDANOV Alexander;ISR;;0.00;;;0.00;;0.00;;;6.00;;;0.00;6.00
185;DE LA CRUZ Jean C;PUR;;;;;;;;;6.00;;;;;6.00
186;WEBER Frederik;SUI;;;;;4.00;2.00;0.00;;;;;;;6.00
187;OGILVIE Sheldon;NZL;;;;;;;;;;;;6.00;0.00;6.00
188;DIAZ AZUAJE Johander;VEN;;;;;;;;;6.00;;;;;6.00
189;HERMOSILLA Cristofer;CHI;;;;;;;;;6.00;;;;;6.00
189;JALILOV Jurabek;UZB;;;;;;;;;;;;6.00;;6.00
191;MUELLER NIELABA Gabriel;SUI;;0.00;0.00;;0.00;2.00;;4.00;;;;;;6.00
192;LOURENCO Vasco;POR;;0.00;;;;;;;;6.00;;;0.00;6.00
193;ALMUWALLAD Waleed;KSA;;;;;;;;;;;;6.00;0.00;6.00
194;MORALES Ramiro;URU;;;;;;;;;6.00;;;;;6.00
195;CHEN Zachary Yi;SGP;;;0.00;;;;;;;;;6.00;0.00;6.00
196;RICHTER Arne;GER;;0.00;;;2.00;4.00;0.00;;;;;;;6.00
197;LIM Justin Ren Hsien;SGP;;;0.00;;;;;;;;;6.00;0.00;6.00
198;MELLO Arthur;BRA;;;;;;;;;6.00;;;;;6.00
199;D'AMICO Kristian;CZE;;0.00;;;2.00;0.00;;0.00;;3.00;;;0.00;5.00
200;DABABNEH Abdallah;JOR;;;;2.00;;;;;;;;3.00;;5.00
201;MANDLA Marten;EST;;;2.00;;;;0.00;;;3.00;;;0.00;5.00
202;ZHU Yichen;CHN;;;;;;;;;;;;;5.00;5.00
203;GLUHIC Gal;SLO;;0.00;;;0.00;0.00;;;;0.00;;;5.00;5.00
204;KYLLONEN Markus;FIN;;2.00;0.00;;;;0.00;;;3.00;;;0.00;5.00
205;BONAMIGO Gabriel;BRA;;;;;;;;;;;;;5.00;5.00
206;ROCCO Emanuele;ITA;;0.00;;;0.00;4.00;;;;;;;;4.00
207;WISAM Oleiwi;IRQ;;;;4.00;;;;;;;;;;4.00
208;RAYNIS Jake;USA;;0.00;4.00;;;;;;;;;;;4.00
209;AL AWSSI Hanibal;DEN;;;0.00;4.00;;;;;;;;;;4.00
210;KOENIGSWIESER Hubert;AUT;;0.00;0.00;4.00;0.00;0.00;0.00;;;;;;;4.00
211;TASHMETOV Rustam;KAZ;;;;4.00;;;;;;;;0.00;;4.00
