RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
85;ELSAYED Ahmed;EGY;;;;;;8.00;;;;;;;10.00;18.00
86;TULEN Rafael;NED;2.00;;2.00;;2.00;1.00;;;;;6.00;;5.00;18.00
87;MARCOL Daniel;POL;1.00;;2.00;;14.00;0.00;0.00;;;;;;;17.00
88;LANGE Henry;USA;4.00;;0.00;;;1.00;;;12.00;;;;;17.00
89;CINI Alessandro;ITA;;;;;1.00;0.00;8.00;8.00;;;;;;17.00
90;NURMATOV Javokhirbek;UZB;;;;;;;;;;12.00;;;5.00;17.00
91;ELIASSEN Ferdinand;NOR;;;2.00;;2.00;2.00;0.00;;;;6.00;;5.00;17.00
92;GALPER Stanislav;ISR;;;4.00;;;1.00;2.00;;;;0.00;;10.00;17.00
93;MOWAFY Mohab;EGY;;14.00;;;;;0.00;;;;;;2.50;16.50
94;YOO Justin;USA;4.00;;2.00;;;;8.00;;;;;;2.50;16.50
95;ARTIUKHOV Viktor;RUS;;;0.00;;;14.00;2.00;0.00;;;;;;16.00
96;TAJIRI Kodai;JPN;;;0.00;;;;8.00;8.00;;;;;;16.00
97;PERTUISOT Hugo;FRA;2.00;;8.00;;1.00;1.00;2.00;2.00;;;;;;16.00
98;RASSOLOV Alexey;RUS;;;0.00;;8.00;4.00;2.00;2.00;;;;;;16.00
99;ABED Faisal;KSA;;4.00;;;;;;;;12.00;;;0.00;16.00
100;HOVIKYAN Eduard;ARM;;8.00;1.00;;;;2.00;0.00;;;0.00;;5.00;16.00
101;METRAILLER Clement;SUI;2.00;;2.00;;1.00;0.00;4.00;4.00;;;3.00;;0.00;16.00
102;ALIMOV Fayzulla;UZB;;;;;;;;;;6.00;;;10.00;16.00
103;CONRAD Nicolas;FRA;;;;;4.00;4.00;4.00;4.00;;;;;;16.00
104;JORDAN Owen;GBR;2.00;;4.00;;;0.00;2.00;;;;3.00;;5.00;16.00
105;DE MOLA Daniel;ITA;4.00;;2.00;;4.00;2.00;0.00;4.00;;;;;;16.00
106;THEWANGER Emil;AUT;;;1.00;;2.00;0.00;2.00;2.00;;;6.00;;2.50;15.50
107;BEAULIEU Loic;CAN;4.00;;0.00;;;;0.00;;6.00;;;;5.00;15.00
108;GUSAROV Klim;EST;;;1.00;;;;1.00;;;;3.00;;10.00;15.00
109;FATEYEV Yegor;KAZ;;;;;;;0.00;;;12.00;;;2.50;14.50
110;UNTERHAUSER Samuel;GER;;;0.00;;4.00;1.00;2.00;2.00;;;3.00;;2.50;14.50
111;TIMO Davide;ITA;14.00;;;;;0.00;;0.00;;;;;;14.00
112;ROJAS CRUZ Vicente Antonio;NCA;;;;14.00;;;;;;;;;0.00;14.00
113;MORALES CASTRO Gabriel;CRC;;;;14.00;;;;;0.00;;;;;14.00
114;ESCALANTE RAMIREZ Moises Eduardo;ESA;;;;14.00;;;;;;;;;;14.00
114;DI VEROLI Davide;ITA;;;;;;;;14.00;;;;;;14.00
116;CASCO Jose;PAR;;;;8.00;;;;;6.00;;;;0.00;14.00
117;ZANCANELLA Amedeo;ITA;8.00;;4.00;;;;;2.00;;;;;;14.00
118;SANCHEZ VIGIER Lorenzo Javier;PUR;;;;8.00;;;;;6.00;;;;;14.00
119;GUBERT Leopoldo;BRA;;;;;;;1.00;1.00;12.00;;;;0.00;14.00
120;MIDELTON Luidgi;FRA;2.00;;0.00;;4.00;4.00;2.00;2.00;;;;;;14.00
121;FAFARD Fynn;CAN;1.00;;0.00;;;;;;12.00;;;;0.00;13.00
122;LITWIN Matthew;CAN;1.00;;0.00;;;;;;12.00;;;;;13.00
123;SINCLAIR Aml;GBR;2.00;;0.00;;;0.00;0.00;;;;6.00;;5.00;13.00
124;LACHIANI Tomer;ISR;;;;;;;0.00;;;;3.00;;10.00;13.00
125;GORBACHUK Yevgeniy;UKR;;;1.00;;2.00;2.00;2.00;;;;3.00;;2.50;12.50
126;ABUJTELA Abdussalam;LBA;;;;;;;;;;;;12.00;;12.00
126;KIM Daeeon;KOR;;;;;;;;;;12.00;;;;12.00
128;LAZAROTO Fabrizio;BRA;;;;;;;0.00;0.00;12.00;;;;0.00;12.00
129;IDDRISU Bashiru;GHA;;;;;;;;;;;;12.00;;12.00
129;REZAEI Mohammad;IRI;;;;;;;;;;12.00;;;;12.00
131;FOFANA Abraham Mohamed Yacine;CIV;;;;;;;;;;;;12.00;;12.00
132;ELJBALLI Mohamed;LBA;;;;;;;;;;;;12.00;;12.00
133;ESAHERI Ahmed;LBA;;;;;;;;;;;;12.00;;12.00
133;GANDON Bi Boukalo Dial Robert;SEN;;;;;;;;;;;;12.00;;12.00
135;DIAZ Jorge;MEX;;;;;;;;;12.00;;;;;12.00
136;MEJRI Rayen L.;TUN;;;;;;;;;;;;12.00;;12.00
136;FAJRI Muhammad;INA;;;;;;;;;;12.00;;;;12.00
138;NASIRDINOV Abdulbosid;UZB;;;;;;;;;;12.00;;;0.00;12.00
139;SOUMANO Lanfia;MLI;;;;;;;;;;;;12.00;;12.00
140;LOPEZ GONZALEZ Keven Steven;NCA;;;;8.00;;;;;3.00;;;;;11.00
141;PIANFETTI Andric;FRA;2.00;;2.00;;4.00;2.00;1.00;0.00;;;;;;11.00
142;CIPAR Jan;SVK;;4.00;;;0.00;2.00;1.00;1.00;;;3.00;;0.00;11.00
143;JOSE Noelito;PHI;;;;;;;;;;6.00;;;5.00;11.00
144;TAN Weixuan;SGP;;;;;;;;;;6.00;;;5.00;11.00
145;OPREA Mihail;ROU;;;;;;;;0.00;;;6.00;;5.00;11.00
146;WILSON Sean;USA;4.00;;4.00;;;1.00;2.00;;;;;;0.00;11.00
147;GEDZO Andzej;EST;;;2.00;;;4.00;2.00;;;;3.00;;;11.00
148;STRNAD Ondrej;CZE;2.00;;1.00;;0.00;1.00;0.00;2.00;;;;;5.00;11.00
149;SLATER Philip;IRL;0.00;8.00;1.00;;;;1.00;;;;0.00;;0.00;10.00
150;RUDYKH Daniil;RUS;;;;;0.00;2.00;8.00;0.00;;;;;;10.00
151;ALMUWALLAD Waleed;KSA;;4.00;;;;;;;;6.00;;;0.00;10.00
152;BLOMMAERT Felix;BEL;0.00;4.00;0.00;;1.00;;2.00;;;;3.00;;0.00;10.00
153;ESKOV Ruslan;EST;;;1.00;;;2.00;4.00;;;;3.00;;0.00;10.00
154;BRINKMANN Marco;GER;2.00;;4.00;;1.00;1.00;0.00;2.00;;;;;;10.00
155;ANDRIYASHKIN Pavel;RUS;;;;;;;8.00;1.00;;;;;;9.00
156;PISKOVATSKOV Jonathan;USA;8.00;;;;;1.00;0.00;;;;;;;9.00
157;SELLS Alexander;AUS;1.00;;0.00;;;;;0.00;;3.00;;;5.00;9.00
158;KEPPEL Colin;NED;1.00;;0.00;;2.00;2.00;;1.00;;;3.00;;0.00;9.00
159;BAUDUNOV Khasan;UZB;;;;;;;;;;6.00;;;2.50;8.50
160;GONZALEZ Rodrigo;CHI;;;;;;;;0.00;6.00;;;;2.50;8.50
161;KHAMIS Hamad;BRN;;8.00;;;;;;;;;;;;8.00
161;DE JESUS Juan Francisco;ESA;;;;8.00;;;;;;;;;;8.00
161;CHOTIN Titouan;FRA;;;;;;;;8.00;;;;;;8.00
164;MEJIA GARCIA Oscar Ariel;ESA;;;;8.00;;;;;;;;;;8.00
165;BALLIVIAN Jose Fernando;BOL;;;;8.00;;;;;;;;;0.00;8.00
166;ARNAULT Louis-Edouard Lai;MAS;;8.00;;;;;;;;0.00;;;0.00;8.00
167;GONELL Gerard;ESP;;;;;;8.00;;;;;;;;8.00
168;REBUS Gregory;FRA;2.00;;0.00;;1.00;4.00;1.00;;;;;;;8.00
169;MASSEREY Cyrille;SUI;4.00;;0.00;;0.00;0.00;0.00;4.00;;;;;;8.00
170;BAKOS Balint;HUN;;;1.00;;2.00;1.00;;4.00;;;;;;8.00
171;NAWROCKI Jerzy;POL;0.00;;0.00;;0.00;4.00;4.00;;;;;;;8.00
172;MATHIS Kei;SUI;1.00;;0.00;;0.00;4.00;2.00;1.00;;;;;;8.00
173;GIL MARTINEZ Alvaro;ESP;;;4.00;;;0.00;;4.00;;;;;0.00;8.00
174;DEBNAR Gergely;HUN;;;2.00;;2.00;2.00;;2.00;;;;;;8.00
175;SZEP Marton;ROU;;;;;;;;0.00;;;3.00;;5.00;8.00
176;LOKAJ Vaclav;CZE;1.00;;;;4.00;;;1.00;;;1.50;;;7.50
177;DIKOV Plamen;BUL;;;;;1.00;;0.00;1.00;;;3.00;;2.50;7.50
178;HIRANO Yuya;JPN;;;;;;;1.00;0.00;;6.00;;;0.00;7.00
179;DERKSEN Ruben;NED;1.00;;;;;;;;;;6.00;;0.00;7.00
180;ZAGORUIKO ZYKOV Ivan;USA;;;1.00;;;4.00;2.00;;;;;;;7.00
181;HERMOSILLA Cristofer;CHI;;;;;;;;1.00;6.00;;;;;7.00
182;ALJNEIBI Ahmed;UAE;;4.00;;;;;;;;3.00;;;;7.00
