RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
110;LYSSOV Alexandre;CAN;;;8.00;;;;0.00;2.00;;;0.00;10.00
111;ROK Mateusz;POL;;0.00;4.00;;;4.00;0.00;2.00;;;;10.00
112;HWANG Hyeonil;KOR;;;;;;;;;;;10.00;10.00
113;SONG Taeyang;KOR;;;;;;;;;;;10.00;10.00
114;EL HAOUARI Abdelkarim;MAR;;;;;;;;;;;10.00;10.00
115;BOLBOCEANU Tatian;ROU;;0.00;2.00;;;;;0.00;;3.00;5.00;10.00
116;BARGUES Manuel;ESP;;2.00;;;0.00;0.00;4.00;0.00;;3.00;;9.00
117;PHANTSKAVA Irakli;GEO;;;;4.00;;;;;;;5.00;9.00
118;PERSU Mario;ROU;;0.00;;;;;;4.00;;0.00;5.00;9.00
119;NARITA Ryosuke;JPN;;;;;;;4.00;;;;5.00;9.00
120;BOURGEOIS Louis;SUI;;0.00;0.00;;8.00;0.00;0.00;0.00;;;;8.00
121;CONTRERAS David;GUA;8.00;;;;;;;;;;;8.00
122;AMBROLADZE Irakli;GEO;;;;8.00;;;;;;;;8.00
122;HENRIQUEZ ANDRES Manuel Rodrigo;ESA;8.00;;;;;;;;;;;8.00
124;HERNANDEZ Moises;GUA;8.00;;;;;;;;;;;8.00
125;GONZALEZ Jeyman;GUA;8.00;;;;;;;;;;;8.00
125;PTSKIALADZE Levani;GEO;;;;8.00;;;;;;;;8.00
127;AMANN Spencer;USA;;0.00;;;8.00;;0.00;;;;;8.00
128;FAAL Omid;IRI;;;;8.00;;;;;;;;8.00
129;TRIVELLI Sergio;ITA;;0.00;;;8.00;;;;;;;8.00
130;VARELA Loic;FRA;;0.00;;;;0.00;0.00;8.00;;;;8.00
131;SIMMONS Ariel;USA;;;;;8.00;;;;;;;8.00
131;KOCH Samuel;USA;;;;;;;8.00;;;;;8.00
133;BOGARD Matt;USA;;0.00;4.00;;;;4.00;;;;;8.00
134;SIKLOSI Gergely;HUN;;4.00;;;0.00;;;4.00;;;;8.00
135;KACHAN Volodymyr;UKR;;4.00;2.00;;2.00;;0.00;0.00;;;;8.00
136;SCHMIER Robert;GER;;4.00;;;2.00;2.00;0.00;0.00;;;;8.00
137;GUBIN Nikita;RUS;;0.00;0.00;;2.00;2.00;;4.00;;;;8.00
138;SRECKI Antoine;FRA;;;;;;;4.00;4.00;;;;8.00
139;ROCCO Emanuele;ITA;;4.00;2.00;;2.00;;;;;;;8.00
140;LEHIS Margo;EST;;0.00;;;;;4.00;0.00;;3.00;;7.00
141;MICKWITZ Valter;FIN;;;2.00;;;;0.00;;;0.00;5.00;7.00
142;NOVOTNY Ondrej;CZE;;0.00;0.00;;2.00;2.00;0.00;0.00;;3.00;0.00;7.00
143;RIVERA RIVERA Christian J.;PUR;;;;;;;;;6.00;;;6.00
144;DELGADO VILLARUBIA Jean Marcel;PUR;;;;;;;;;6.00;;;6.00
145;MAITA Manuel;VEN;;;;;;;;;6.00;;;6.00
146;CARRASQUILLO MENDEZ Rogel;PUR;;;;;;;;;6.00;;;6.00
147;MORALES BIDO David David;DOM;;;;;;;;;6.00;;;6.00
148;DE LA CRUZ Jean C;PUR;;;;;;;;;6.00;;;6.00
149;MUELLER NIELABA Gabriel;SUI;;0.00;2.00;;4.00;0.00;0.00;0.00;;;;6.00
150;MANDLA Marten;EST;;;0.00;;;;0.00;;;6.00;;6.00
151;MALCOTTI Lucas;SUI;;0.00;4.00;;;2.00;0.00;0.00;;;;6.00
152;MIGALLON Guillermo;ESP;;0.00;2.00;;0.00;2.00;2.00;0.00;;;;6.00
153;ILLE Ondrej;SVK;;2.00;;;2.00;2.00;;0.00;;0.00;;6.00
154;AL HAMMADI Abdullah;UAE;;;;;;;;0.00;;;5.00;5.00
155;MIKAELIAN Mikael;GEO;;;;2.00;;;;;;3.00;0.00;5.00
156;GEORGES Guillaume;BEL;;2.00;;;;0.00;0.00;;;3.00;;5.00
157;GIANNOTTE Flavio;LUX;;0.00;0.00;;0.00;0.00;2.00;0.00;;3.00;;5.00
158;HANINA Saar;ISR;;2.00;0.00;;0.00;;0.00;;;3.00;;5.00
159;MATIC Luka;CRO;;;;;0.00;;;;;0.00;5.00;5.00
160;ROGER Zacharie Herve;MAR;;;;;;;;;;;5.00;5.00
161;KOMAN Robert;SLO;;0.00;;;0.00;;;;;0.00;5.00;5.00
162;VAZ Andre;POR;;0.00;0.00;;;;;;;;5.00;5.00
163;HO Wai Hang;HKG;;;;;;;;;;;5.00;5.00
164;ASHRAF Moustafa;EGY;;;;;;;;;;;5.00;5.00
165;CHADO TODOROVSKI Vojdan;MKD;;;;;;;;;;0.00;5.00;5.00
166;ZRYUMOV Alexey;RUS;;0.00;4.00;;0.00;;;;;;;4.00
167;KARYUCHENKO Yevgeniy;UKR;;0.00;0.00;;4.00;;0.00;;;;;4.00
168;MOHAMMADNIA Esmaeil;IRI;;;;4.00;;;;;;;;4.00
169;JAFARI Hossein;IRI;;;;4.00;;;;;;;;4.00
169;SIDOROV Alexey;RUS;;;;;;;;4.00;;;;4.00
171;ZHUMABAI UULU Daanyshman;KGZ;;;;4.00;;;;;;;0.00;4.00
172;MAULA Alessandro;ITA;;0.00;0.00;;0.00;4.00;;0.00;;;;4.00
173;RAMEZANI Saeid;IRI;;;;4.00;;;;;;;;4.00
173;GUSSONI Alessandro;ITA;;;;;4.00;;;;;;;4.00
175;CRAMERUS John;USA;;0.00;4.00;;0.00;;0.00;;;;;4.00
176;HASHEMI Pouria;IRI;;;;4.00;;;;;;;;4.00
177;VARGA Peter;CZE;;0.00;;;;4.00;;0.00;;;0.00;4.00
178;KAMJO Mirsalar;IRI;;;;4.00;;;;;;;;4.00
179;SABBAGH Mohammad;JOR;;;;4.00;;;;;;;;4.00
180;ISHANOV Vladislav;KAZ;;;;4.00;;;;;;;;4.00
181;GAARDSTED Viktor Emil;DEN;;;0.00;4.00;;;0.00;;;0.00;;4.00
182;PUJU Robin;HUN;;4.00;;;;;;;;;;4.00
183;SHOJAEI Mohammad;IRI;;;;4.00;;;;;;;;4.00
184;CRECCHI Bernardo;ITA;;;0.00;;;;;4.00;;;;4.00
185;BERGAMINI Enrico;ITA;;;;;4.00;;;;;;;4.00
186;SANCHEZ-LETHEM Paul James;GBR;;0.00;0.00;;4.00;;0.00;;;0.00;;4.00
187;VEUTHEY Alvaro;ESP;;;;;;;;4.00;;;;4.00
187;ALAHMAD Mohammad;KUW;;;;4.00;;;;;;;;4.00
187;LEONE Alberto;ITA;;;;;;;4.00;;;;;4.00
190;ASENSI Artur;ESP;;;4.00;;0.00;;;;;;;4.00
191;BEIK Behnam;IRI;;;;4.00;;;;;;;0.00;4.00
192;CANAUX Gabriel;USA;;;0.00;;4.00;;;;;;;4.00
193;KARAPETYAN Edgar;ARM;;;;4.00;;;;;;;;4.00
194;ELDEIB Alexander;USA;;;2.00;;;;2.00;;;;;4.00
195;HAIT Jonatan;ISR;;2.00;;;2.00;;;;;0.00;0.00;4.00
196;SANNIER Valentin;FRA;;2.00;;;;0.00;2.00;0.00;;;;4.00
197;KREILEIN Robert;GER;;0.00;;;0.00;2.00;2.00;;;;;4.00
198;IBRAHIM Ayyub;USA;;;;;2.00;;2.00;;;;;4.00
199;FREIMAN Samuel;USA;;2.00;2.00;;0.00;;;;;;;4.00
200;CHEREPAKHOV Mykyta;UKR;;2.00;0.00;;0.00;;;2.00;;;;4.00
201;NAGY Attila;HUN;;2.00;;;0.00;;;2.00;;;;4.00
202;FRIDMAN Daniel;ISR;;2.00;;;2.00;;0.00;;;;;4.00
203;EZCURRA Eduardo;ESP;;;2.00;;;2.00;;;;;;4.00
204;DIAZ AZUAJE Johander;VEN;;;;;;2.00;2.00;;;;;4.00
205;TANG Oskar;SWE;;0.00;2.00;;0.00;;2.00;;;0.00;;4.00
206;SIMKO Nicolas;SUI;;;;;2.00;2.00;;;;;;4.00
207;DESJARDINS Vincent;CAN;;;;;;2.00;0.00;2.00;;;0.00;4.00
208;HAGLUND Daniel;SWE;;0.00;0.00;;;;0.00;;;3.00;;3.00
209;TORFASON Yannic Timo Daniel;ISL;;;;;;0.00;0.00;0.00;;3.00;;3.00
210;KYLLONEN Markus;FIN;;0.00;0.00;;0.00;;0.00;;;3.00;;3.00
211;SINATRA Giacomo;ITA;;;2.00;;;;;;;;;2.00
211;SALAHI Hamed;IRI;;;;2.00;;;;;;;;2.00
213;ARAZYAN Armen;ARM;;;;2.00;;;;;;0.00;;2.00
214;SCHOBER Maximilian;AUT;;0.00;2.00;;0.00;0.00;0.00;;;0.00;0.00;2.00
215;ATYAN Edgar;ARM;;;;2.00;;;;;;;;2.00
216;POTAPENKO Denis;UKR;;0.00;0.00;;;2.00;;0.00;;;;2.00
217;SADEGHIAN Alireza;IRI;;;;2.00;;;;;;;;2.00
218;HOVIKYAN Eduard;ARM;;;;2.00;0.00;;;;;;;2.00
219;VESTERINEN Verneri;FIN;;;2.00;;;;;;;;;2.00
