RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
143;PIZZINI Alessia;ITA;;;2.00;2.00;1.00;;4.00;1.00;;;;;;10.00
144;BULTYNCK Anne;BEL;;;0.50;0.25;1.00;8.00;0.00;0.00;;;;;;9.75
145;BURSOVA Regina;SVK;;;1.00;4.00;1.00;;0.50;;;3.00;;;0.00;9.50
146;TAMASHEUSKAYA Kseniya;BLR;;;;;;4.00;4.00;;;;;;1.25;9.25
147;MACCAGNO Carola;ITA;;;;8.00;1.00;;;;;;;;;9.00
148;AMBROSI Isabella;ITA;;;;;8.00;;1.00;;;;;;;9.00
149;KHROL Jaclyn;USA;;4.00;4.00;;;;1.00;;;;;;;9.00
150;HALVACIAY Beyza;TUR;;;;;4.00;;0.00;2.00;;3.00;;;0.00;9.00
151;IZZO Iulia;SUI;;;;4.00;0.00;;1.00;4.00;;;;;;9.00
152;KAZAR Dora;HUN;;;;2.00;2.00;;1.00;4.00;;;;;;9.00
153;ABDYL-KHAMITOVA Kamilia;KGZ;;;;;;;;;;;;6.00;2.50;8.50
154;CHEN Yu Hsuan;TPE;;;;;;;;;;;;6.00;2.50;8.50
155;KO Christina Anne;HKG;;;;;;;;;;;;6.00;2.50;8.50
156;SZARVAS Rita;HUN;;;;;8.00;;0.25;;;;;;;8.25
157;HERSANT Lydiane;FRA;;;2.00;;;4.00;0.25;2.00;;;;;;8.25
158;DRAEGER Alma;FRA;;;2.00;0.25;1.00;4.00;0.00;1.00;;;;;;8.25
159;SCHLIER Zsuzsa;ROU;;;;0.00;;;0.25;;;3.00;;;5.00;8.25
160;LOURENCO CARVAJAL Amarili;GER;8.00;0.00;;;;;;0.00;;;;;;8.00
161;ESTRADA Elsie;GUA;8.00;;;;;;;;;;;;;8.00
162;POLO Carolina;BRA;8.00;;;;0.00;;0.00;0.00;;;0.00;;0.00;8.00
163;MOSHEIM CARBAJAL Alexandra;CRC;8.00;;;;;;;;;;;;;8.00
164;DANIEL Chloe;USA;;8.00;;;;;;;;;;;;8.00
164;MOLINA CERON Krissya Marlieth;ESA;8.00;;;;;;;;;;;;;8.00
